Country,State,City/Station,WMO,Source Data,Latitude (N+/S-),Longitude (E+/W-),Time Zone (GMT +/-),Elevation (m),URL
CHE,VD,Oron,67080,SRC-TMYx,46.5722,6.8583,1,828.8,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VD_Vaud/CHE_VD_Oron.067080_TMYx.2009-2023.zip
CHE,VD,Payerne,66100,SRC-TMYx,46.8117,6.9425,1,490.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VD_Vaud/CHE_VD_Payerne.066100_TMYx.2009-2023.zip
CHE,VD,St.Prex,67060,ERA5-TMYx,46.4836,6.4431,1,425,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VD_Vaud/CHE_VD_St.Prex.067060_TMYx.2009-2023.zip
CHE,VD,Villars-Tiercelin,67070,SRC-TMYx,46.6217,6.71,1,859,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VD_Vaud/CHE_VD_Villars-Tiercelin.067070_TMYx.2009-2023.zip
CHE,VS,Adelboden,67350,SRC-TMYx,46.4922,7.5606,1,1328.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Adelboden.067350_TMYx.2009-2023.zip
CHE,VS,Aigle,67120,SRC-TMYx,46.3267,6.9244,1,382.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Aigle.067120_TMYx.2009-2023.zip
CHE,VS,Binn,67210,SRC-TMYx,46.3656,8.1908,1,1448,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Binn.067210_TMYx.2009-2023.zip
CHE,VS,Blatten,67250,SRC-TMYx,46.4206,7.8233,1,1538.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Blatten.067250_TMYx.2009-2023.zip
CHE,VS,Col.du.Grand.St.Bernard,67170,SRC-TMYx,45.8689,7.1708,1,2487.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Col.du.Grand.St.Bernard.067170_TMYx.2009-2023.zip
CHE,VS,Evionnaz,67150,SRC-TMYx,46.1831,7.0267,1,482.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Evionnaz.067150_TMYx.2009-2023.zip
CHE,VS,Evolene.Villaz,67220,SRC-TMYx,46.1122,7.5086,1,1828.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Evolene.Villaz.067220_TMYx.2009-2023.zip
CHE,VS,Gornergrat,67490,SRC-TMYx,45.9836,7.7858,1,3129.3,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Gornergrat.067490_TMYx.2009-2023.zip
CHE,VS,Grachen,67280,SRC-TMYx,46.1953,7.8369,1,1605.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Grachen.067280_TMYx.2009-2023.zip
CHE,VS,Grimsel.Hospiz,67440,SRC-TMYx,46.5717,8.3333,1,1961.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Grimsel.Hospiz.067440_TMYx.2009-2023.zip
CHE,VS,Le.Bouveret-Port.Valais,67090,SRC-TMYx,46.3829,6.8541,1,385,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Le.Bouveret-Port.Valais.067090_TMYx.2009-2023.zip
CHE,VS,Montana,67240,SRC-TMYx,46.2986,7.4608,1,1424.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Montana.067240_TMYx.2009-2023.zip
CHE,VS,Monte.Rosa,67470,SRC-TMYx,45.9567,7.8147,1,2885,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Monte.Rosa.067470_TMYx.2009-2023.zip
CHE,VS,Mottec,67160,SRC-TMYx,46.1478,7.6242,1,1580.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Mottec.067160_TMYx.2009-2023.zip
CHE,VS,Sion.AP,67200,SRC-TMYx,46.2186,7.3303,1,483,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Sion.AP.067200_TMYx.2009-2023.zip
CHE,VS,Ulrichen.AP,67450,SRC-TMYx,46.5047,8.3081,1,1347.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Ulrichen.AP.067450_TMYx.2009-2023.zip
CHE,VS,Verbier-Les.Attlelas,67230,SRC-TMYx,46.0992,7.2686,1,2733,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Verbier-Les.Attlelas.067230_TMYx.2009-2023.zip
CHE,VS,Visp,67270,SRC-TMYx,46.3028,7.8431,1,640.6,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Visp.067270_TMYx.2009-2023.zip
CHE,VS,Zermatt,67480,SRC-TMYx,46.0292,7.7531,1,1639.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VS_Valais/CHE_VS_Zermatt.067480_TMYx.2009-2023.zip
CHE,ZG,Cham,66740,SRC-TMYx,47.1883,8.4647,1,443.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/ZG_Zug/CHE_ZG_Cham.066740_TMYx.2009-2023.zip
CHE,ZG,Oberaegeri,66760,ERA5-TMYx,47.1339,8.61,1,726,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/ZG_Zug/CHE_ZG_Oberaegeri.066760_TMYx.2009-2023.zip
CHE,ZH,Dubendorf.AP,66099,SRC-TMYx,47.399,8.648,1,448.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/ZH_Zurich/CHE_ZH_Dubendorf.AP.066099_TMYx.2009-2023.zip
CHE,ZH,Hombrechtikom,68510,ERA5-TMYx,47.2442,8.77,1,496,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/ZH_Zurich/CHE_ZH_Hombrechtikom.068510_TMYx.2009-2023.zip
CHE,ZH,Hornli,66890,SRC-TMYx,47.3708,8.9417,1,1134.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/ZH_Zurich/CHE_ZH_Hornli.066890_TMYx.2009-2023.zip
CHE,ZH,Lageren,66690,SRC-TMYx,47.4819,8.3972,1,843,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/ZH_Zurich/CHE_ZH_Lageren.066690_TMYx.2009-2023.zip
CHE,ZH,Wadenswil,66730,SRC-TMYx,47.2208,8.6778,1,486.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/ZH_Zurich/CHE_ZH_Wadenswil.066730_TMYx.2009-2023.zip
CHE,ZH,Zurich.Affoltern,66640,SRC-TMYx,47.4278,8.5178,1,444.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/ZH_Zurich/CHE_ZH_Zurich.Affoltern.066640_TMYx.2009-2023.zip
CHE,ZH,Zurich.AP,66700,SRC-TMYx,47.4797,8.5358,1,427.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/ZH_Zurich/CHE_ZH_Zurich.AP.066700_TMYx.2009-2023.zip
CHE,ZH,Zurich.Fluntern,66600,SRC-TMYx,47.3781,8.5658,1,557.6,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/ZH_Zurich/CHE_ZH_Zurich.Fluntern.066600_TMYx.2009-2023.zip
