Country,State,City/Station,WMO,Source Data,Latitude (N+/S-),Longitude (E+/W-),Time Zone (GMT +/-),Elevation (m),URL
CHE,BE,Koppigen,66350,SRC-TMYx,47.1189,7.6056,1,485.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/BE_Bern/CHE_BE_Koppigen.066350_TMYx.2009-2023.zip
CHE,BE,Langnau.im.Emmental,66380,SRC-TMYx,46.9397,7.8064,1,746.7,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/BE_Bern/CHE_BE_Langnau.im.Emmental.066380_TMYx.2009-2023.zip
CHE,BE,Meiringen,66370,SRC-TMYx,46.7322,8.1692,1,590.6,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/BE_Bern/CHE_BE_Meiringen.066370_TMYx.2009-2023.zip
CHE,BE,Meiringen.AP,66140,SRC-TMYx,46.743,8.11,1,579.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/BE_Bern/CHE_BE_Meiringen.AP.066140_TMYx.2009-2023.zip
CHE,BE,Muhleberg,66360,SRC-TMYx,46.9733,7.2781,1,481.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/BE_Bern/CHE_BE_Muhleberg.066360_TMYx.2009-2023.zip
CHE,BE,Napf,66390,SRC-TMYx,47.0047,7.94,1,1405.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/BE_Bern/CHE_BE_Napf.066390_TMYx.2009-2023.zip
CHE,BE,Wynau,66430,SRC-TMYx,47.255,7.7875,1,423.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/BE_Bern/CHE_BE_Wynau.066430_TMYx.2009-2023.zip
CHE,BL,Basel.Binningen,66010,SRC-TMYx,47.5411,7.5836,1,317.3,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/BL_Basel-Landschaft/CHE_BL_Basel.Binningen.066010_TMYx.2009-2023.zip
CHE,BL,Runenberg,66450,SRC-TMYx,47.4344,7.8794,1,612.6,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/BL_Basel-Landschaft/CHE_BL_Runenberg.066450_TMYx.2009-2023.zip
CHE,FR,Fribourg.Posieux,66250,SRC-TMYx,46.7714,7.1136,1,647.6,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/FR_Fribourg/CHE_FR_Fribourg.Posieux.066250_TMYx.2009-2023.zip
CHE,FR,Le.Moleson,66090,SRC-TMYx,46.5461,7.0178,1,1975.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/FR_Fribourg/CHE_FR_Le.Moleson.066090_TMYx.2009-2023.zip
CHE,FR,Marsens,66400,SRC-TMYx,46.6564,7.0697,1,714.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/FR_Fribourg/CHE_FR_Marsens.066400_TMYx.2009-2023.zip
CHE,FR,Plaffeien,66280,SRC-TMYx,46.7478,7.2661,1,1043.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/FR_Fribourg/CHE_FR_Plaffeien.066280_TMYx.2009-2023.zip
CHE,GE,Geneva.Intl.AP,67000,SRC-TMYx,46.2475,6.1278,1,430.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GE_Geneva/CHE_GE_Geneva.Intl.AP.067000_TMYx.2009-2023.zip
CHE,GL,Crap.Masegn,66880,SRC-TMYx,46.8422,9.18,1,2480,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GL_Glarus/CHE_GL_Crap.Masegn.066880_TMYx.2009-2023.zip
CHE,GL,Elm,66820,SRC-TMYx,46.9239,9.1753,1,960,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GL_Glarus/CHE_GL_Elm.066820_TMYx.2009-2023.zip
CHE,GL,Glarus,66850,SRC-TMYx,47.0347,9.0669,1,517.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GL_Glarus/CHE_GL_Glarus.066850_TMYx.2009-2023.zip
CHE,GR,Andeer,67870,SRC-TMYx,46.61,9.4319,1,989,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Andeer.067870_TMYx.2009-2023.zip
CHE,GR,Arosa,67850,SRC-TMYx,46.7925,9.6789,1,1878.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Arosa.067850_TMYx.2009-2023.zip
CHE,GR,Buffalora,67780,SRC-TMYx,46.6481,10.2672,1,1969.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/GR_Graubunden/CHE_GR_Buffalora.067780_TMYx.2009-2023.zip
