,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Aeugst am Albis,0,1,3,1,1,0,0,0,0,1
Affoltern am Albis,0,10,69,21,0,0,0,3,16,1
Bonstetten,0,4,12,8,0,0,0,1,0,1
Hausen am Albis,0,16,16,6,0,2,1,9,1,1
Hedingen,0,3,11,7,0,0,0,0,1,1
Kappel am Albis,0,2,1,0,0,0,0,0,0,1
Knonau,0,0,6,0,0,0,0,1,0,1
Maschwanden,0,2,1,0,0,0,0,0,0,1
Mettmenstetten,0,4,8,4,0,0,0,0,0,1
Obfelden,0,3,19,7,0,1,0,0,1,1
Ottenbach,0,1,3,1,0,0,0,0,1,1
Rifferswil,0,3,3,0,0,0,0,0,0,1
Stallikon,0,8,7,4,1,0,0,0,1,1
Wettswil am Albis,0,2,6,3,0,0,0,0,0,1
Benken (ZH),0,3,5,2,0,0,0,0,1,1
Berg am Irchel,0,4,1,1,0,0,0,2,0,1
Buch am Irchel,0,3,5,1,0,0,0,0,1,1
Dachsen,0,3,15,1,0,0,1,0,3,1
Dorf,0,1,4,1,0,0,0,0,0,1
Feuerthalen,1,1,46,16,1,62,0,1,12,1
Flaach,0,3,8,2,0,0,0,2,0,1
Flurlingen,0,3,20,3,0,1,0,0,2,1
Henggart,0,3,10,4,0,0,0,0,0,1
Kleinandelfingen,0,5,6,3,0,0,0,0,1,1
Laufen-Uhwiesen,0,6,8,1,0,0,0,0,4,1
Marthalen,0,2,11,2,1,1,0,0,2,1
Ossingen,0,2,3,5,0,0,0,0,0,1
Rheinau,0,3,44,8,0,0,0,1,2,1
Thalheim an der Thur,0,2,4,2,0,0,0,0,0,1
Trüllikon,0,3,9,2,0,0,0,0,0,1
Truttikon,0,4,1,0,0,0,0,0,0,1
Volken,0,0,3,2,0,0,0,0,0,1
Bachenbülach,0,0,7,0,0,2,0,0,0,1
Bassersdorf,0,9,59,9,1,0,0,1,10,1
Bülach,0,18,119,38,0,9,0,2,6,1
Dietlikon,0,5,31,8,0,12,0,0,1,1
Eglisau,0,2,25,13,0,0,0,0,4,1
Embrach,0,9,40,5,0,0,0,4,4,1
Freienstein-Teufen,0,1,7,4,0,0,0,0,1,1
Glattfelden,0,11,45,16,0,0,0,0,3,1
Hochfelden,0,3,1,0,0,0,0,0,0,1
Höri,0,1,3,0,0,0,0,0,1,1
Hüntwangen,0,0,12,1,0,0,0,0,0,1
Kloten,0,5,43,8,0,4,0,0,2,1
Lufingen,0,1,2,0,0,0,0,0,0,1
Nürensdorf,0,3,3,3,0,0,0,0,0,1
Oberembrach,0,0,1,0,0,0,0,1,0,1
Opfikon,0,1,45,6,0,36,0,0,2,1
Rafz,0,5,25,8,0,0,0,1,3,1
