,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Aeugst am Albis,0,1,15,25,0,0,0,0,0,1
Affoltern am Albis,0,0,48,120,0,1,0,9,2,1
Bonstetten,0,0,41,55,0,0,0,0,0,1
Hausen am Albis,0,4,8,13,0,0,0,9,0,1
Hedingen,0,0,22,45,0,0,0,2,3,1
Kappel am Albis,0,2,5,12,0,0,0,1,2,1
Knonau,0,9,13,5,0,0,0,31,0,1
Maschwanden,0,1,12,2,0,0,0,0,1,1
Mettmenstetten,0,8,35,48,0,0,0,0,0,1
Obfelden,0,1,30,44,0,1,0,0,0,1
Ottenbach,0,3,11,32,0,0,0,3,0,1
Rifferswil,0,1,3,10,0,0,0,0,0,1
Stallikon,0,0,26,33,0,0,0,2,1,1
Wettswil am Albis,0,0,61,27,0,5,0,0,1,1
Benken (ZH),0,0,2,2,0,0,0,7,0,1
Berg am Irchel,0,2,2,4,0,0,0,8,0,1
Buch am Irchel,0,0,1,18,0,1,0,6,0,1
Dachsen,0,0,20,64,1,0,2,0,2,1
Dorf,0,0,8,12,0,0,0,0,0,1
Feuerthalen,0,1,4,12,0,59,0,0,0,1
Flaach,0,1,6,14,0,0,0,5,0,1
Flurlingen,0,0,0,17,1,21,0,0,0,1
Henggart,0,1,32,57,0,0,0,0,0,1
Kleinandelfingen,0,2,26,15,0,0,0,0,2,1
Laufen-Uhwiesen,0,0,13,14,0,0,0,0,0,1
Marthalen,0,2,13,16,0,0,0,0,1,1
Ossingen,0,0,7,17,0,0,0,5,0,1
Rheinau,0,3,4,12,0,0,0,7,0,1
Thalheim an der Thur,0,0,1,11,0,0,0,0,0,1
Trüllikon,0,0,4,6,0,0,0,0,0,1
Truttikon,0,1,3,5,0,0,0,0,0,1
Volken,0,1,0,9,0,0,0,0,0,1
Bachenbülach,1,1,8,16,0,0,0,0,0,1
Bassersdorf,0,1,135,90,0,0,0,3,3,1
Bülach,0,2,31,32,0,30,0,4,0,1
Dietlikon,0,1,6,2,0,43,0,6,0,1
Eglisau,0,0,42,52,0,1,0,0,4,1
Embrach,0,20,39,64,0,1,0,10,4,1
Freienstein-Teufen,0,2,1,39,0,0,0,0,0,1
Glattfelden,0,2,63,40,0,0,0,0,3,1
Hochfelden,0,0,16,27,0,1,0,0,1,1
Höri,0,0,14,27,0,0,0,2,0,1
Hüntwangen,0,1,15,20,0,0,0,0,2,1
Kloten,0,5,74,82,7,0,0,0,2,1
Lufingen,0,0,17,9,0,0,0,0,0,1
Nürensdorf,0,2,41,50,1,0,0,0,0,1
Oberembrach,0,2,0,5,0,0,0,0,2,1
Opfikon,0,0,13,24,0,48,0,0,0,1
Rafz,0,0,11,38,0,0,0,28,0,1
Rorbas,0,0,13,8,0,0,0,0,0,1
Wallisellen,0,0,22,8,0,47,4,3,4,1
Wasterkingen,0,0,7,5,0,0,0,0,0,1
Wil (ZH),0,1,6,11,0,0,0,0,1,1
Winkel,0,2,22,39,1,0,1,0,1,1
Bachs,0,0,7,3,0,0,0,0,0,1
Boppelsen,0,9,18,42,0,0,0,0,2,1
Buchs (ZH),0,0,27,27,0,25,0,0,1,1
Dällikon,1,0,5,14,0,9,0,0,2,1
Dänikon,0,1,11,16,0,1,0,0,0,1
Dielsdorf,1,1,14,20,0,7,0,1,0,1
Hüttikon,0,2,8,9,0,0,0,0,0,1
Neerach,0,1,43,50,0,0,0,0,1,1
Niederglatt,0,1,25,59,11,1,0,3,2,1
Niederhasli,0,0,210,48,2,0,0,2,5,1
Niederweningen,0,2,49,106,0,1,0,3,4,1
Oberglatt,0,0,21,45,0,0,0,1,2,1
Oberweningen,0,0,5,8,0,0,0,0,0,1
Otelfingen,0,2,51,20,0,0,0,1,1,1
Regensberg,0,0,1,0,0,0,0,0,0,1
Regensdorf,0,3,104,102,2,60,0,2,4,1
Rümlang,0,0,14,37,0,20,0,17,5,1
Schleinikon,0,2,7,9,0,0,0,0,0,1
Schöfflisdorf,0,2,7,10,0,0,0,0,0,1
Stadel,0,0,25,31,0,0,0,0,1,1
Steinmaur,0,1,12,13,0,0,0,0,0,1
Weiach,0,3,5,21,0,0,0,11,1,1
Bäretswil,0,1,9,45,0,1,1,0,0,1
Bubikon,0,1,17,22,0,48,1,0,0,1
Dürnten,0,0,14,24,1,45,0,0,1,1
Fischenthal,0,1,5,3,0,0,0,0,0,1
Gossau (ZH),2,2,90,68,0,20,0,0,5,1
Grüningen,0,3,17,27,0,0,0,0,0,1
Hinwil,0,5,51,55,0,11,0,2,0,1
Rüti (ZH),0,2,5,24,0,40,0,0,1,1
Seegräben,0,0,3,4,0,1,0,0,0,1
Wald (ZH),0,5,15,30,0,0,0,1,0,1
Wetzikon (ZH),2,2,9,34,0,134,0,2,3,1
Adliswil,0,2,5,22,1,58,0,0,0,1
Kilchberg (ZH),0,1,2,5,0,36,0,0,0,1
Langnau am Albis,0,0,8,41,0,50,0,0,0,1
Oberrieden,0,0,6,33,0,42,1,1,1,1
Richterswil,1,0,24,25,0,105,0,0,1,1
Rüschlikon,0,1,7,6,2,23,0,1,1,1
Thalwil,0,2,11,43,1,58,0,3,2,1
Erlenbach (ZH),0,0,14,26,0,47,0,1,2,1
Herrliberg,9,0,18,24,4,75,0,2,0,1
Hombrechtikon,0,0,39,27,0,3,0,0,1,1
Küsnacht (ZH),0,0,12,28,0,68,0,8,0,1
Männedorf,0,21,12,37,0,96,0,1,0,1
Meilen,1,2,54,31,4,97,0,5,2,1
Oetwil am See,0,50,15,22,0,0,0,5,0,1
Stäfa,0,0,22,27,0,91,0,3,0,1
Uetikon am See,1,1,32,71,0,68,0,3,5,1
Zumikon,0,1,25,19,0,0,1,1,0,1
Zollikon,0,0,13,9,0,35,0,0,0,1
Fehraltorf,0,1,20,8,0,0,0,0,0,1
Hittnau,1,4,18,33,1,6,0,2,0,1
Lindau,0,7,64,79,0,0,0,11,1,1
Pfäffikon,0,1,47,36,0,1,0,14,0,1
Russikon,0,0,25,40,0,1,0,18,0,1
Weisslingen,0,4,21,21,0,0,0,0,0,1
Wila,0,1,9,21,0,0,0,7,1,1
Wildberg,0,0,6,9,0,0,0,0,0,1
Dübendorf,0,7,11,25,35,207,1,12,1,1
Egg,0,6,70,60,0,2,0,3,3,1
Fällanden,0,0,2,27,0,30,0,2,3,1
Greifensee,0,0,7,10,1,5,0,61,0,1
Maur,0,0,100,53,3,47,1,1,2,1
Mönchaltorf,0,1,11,34,0,1,0,0,1,1
Schwerzenbach,0,0,0,34,0,11,0,0,0,1
Uster,0,4,21,53,0,240,1,8,0,1
Volketswil,0,3,81,70,0,124,3,1,3,1
Wangen-Brüttisellen,0,2,108,65,0,47,1,1,3,1
Altikon,0,0,2,16,0,0,0,0,0,1
Brütten,0,12,46,15,0,0,0,1,2,1
Dägerlen,0,0,8,5,0,0,0,0,1,1
Dättlikon,0,0,4,7,0,0,0,1,0,1
Dinhard,0,3,11,9,0,0,0,0,0,1
Ellikon an der Thur,1,1,13,3,0,0,0,0,0,1
Elsau,0,5,27,60,0,0,0,0,1,1
Hagenbuch,0,0,11,30,0,0,0,1,1,1
Hettlingen,0,1,30,65,0,0,0,26,11,1
Neftenbach,0,1,18,50,0,0,0,0,4,1
Pfungen,0,0,3,7,0,25,0,0,0,1
Rickenbach (ZH),0,0,38,51,1,0,0,1,1,1
Schlatt (ZH),0,2,0,10,0,0,0,0,0,1
Seuzach,0,9,53,81,1,0,0,7,4,1
Turbenthal,0,4,11,8,0,0,0,2,0,1
