,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Aeugst am Albis,1,5,20,21,0,0,0,0,0,1
Affoltern am Albis,3,1,97,39,0,0,0,2,14,1
Bonstetten,0,5,120,2,0,0,0,2,1,1
Hausen am Albis,0,4,28,16,0,0,0,12,0,1
Hedingen,0,4,19,31,0,0,0,0,1,1
Kappel am Albis,0,4,15,5,0,0,0,1,0,1
Knonau,0,0,33,8,0,3,0,3,0,1
Maschwanden,0,2,4,3,0,0,0,0,0,1
Mettmenstetten,0,1,19,22,0,6,0,0,0,1
Obfelden,0,5,24,9,0,0,0,0,0,1
Ottenbach,0,2,29,46,0,2,0,0,9,1
Rifferswil,0,0,7,2,0,0,0,0,0,1
Stallikon,0,4,79,43,0,15,0,1,2,1
Wettswil am Albis,0,0,61,20,0,0,0,0,5,1
Benken (ZH),0,0,3,3,0,0,0,0,0,1
Berg am Irchel,0,1,8,2,0,0,0,0,1,1
Buch am Irchel,0,3,4,7,0,1,0,3,0,1
Dachsen,0,1,4,5,0,0,0,0,0,1
Dorf,0,0,3,5,0,0,0,0,0,1
Feuerthalen,0,0,4,4,0,10,0,0,1,1
Flaach,0,0,8,1,0,0,0,0,1,1
Flurlingen,0,1,9,10,0,0,0,0,2,1
Henggart,0,1,24,3,0,0,0,0,0,1
Kleinandelfingen,0,3,11,6,0,1,0,1,0,1
Laufen-Uhwiesen,0,0,22,5,0,1,0,0,4,1
Marthalen,0,4,19,8,0,0,0,1,1,1
Ossingen,0,4,7,7,0,0,0,8,0,1
Rheinau,0,0,17,6,0,0,0,0,2,1
Thalheim an der Thur,0,1,2,4,0,0,0,0,0,1
Trüllikon,0,1,4,2,0,0,0,0,1,1
Truttikon,0,0,1,4,0,0,0,0,0,1
Volken,0,1,2,0,0,0,0,0,0,1
Bachenbülach,0,2,8,1,1,1,0,0,0,1
Bassersdorf,0,1,48,25,0,3,0,0,0,1
Bülach,0,1,51,32,0,2,0,3,3,1
Dietlikon,0,0,8,10,0,27,0,0,1,1
Eglisau,0,3,21,10,0,0,0,0,2,1
Embrach,0,1,49,11,0,0,0,3,9,1
Freienstein-Teufen,0,2,21,45,0,0,0,0,11,1
Glattfelden,0,2,58,16,0,0,0,0,1,1
Hochfelden,0,3,25,5,0,0,0,0,1,1
Höri,0,1,5,5,1,0,0,0,0,1
Hüntwangen,0,0,10,5,0,0,0,0,0,1
