,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Aeugst am Albis,0,45,30,28,3,0,0,0,5,1
Affoltern am Albis,0,66,136,35,1,0,0,31,27,1
Bonstetten,0,30,29,21,0,0,0,3,7,1
Hausen am Albis,0,89,89,48,1,1,0,37,18,1
Hedingen,0,24,64,20,0,0,0,6,13,1
Kappel am Albis,0,64,36,11,1,0,0,2,4,1
Knonau,0,32,38,6,0,1,0,7,3,1
Maschwanden,0,45,27,16,0,0,0,0,2,1
Mettmenstetten,0,78,93,101,0,6,0,2,20,1
Obfelden,0,45,80,50,0,5,0,2,10,1
Ottenbach,1,53,84,36,0,1,0,0,19,1
Rifferswil,0,48,50,8,1,1,0,7,5,1
Stallikon,0,37,42,14,0,1,0,0,2,1
Wettswil am Albis,0,11,16,5,1,0,0,0,1,1
Benken (ZH),0,30,37,8,0,0,0,12,4,1
Berg am Irchel,0,33,34,20,0,2,0,20,7,1
Buch am Irchel,0,32,26,20,2,0,0,2,4,1
Dachsen,0,17,39,20,0,0,0,0,9,1
Dorf,0,21,16,16,0,0,0,0,4,1
Feuerthalen,0,7,50,9,0,119,0,0,8,1
Flaach,0,35,52,26,0,0,0,23,8,1
Flurlingen,0,10,37,4,0,35,0,0,8,1
Henggart,0,18,29,8,0,1,0,0,5,1
Kleinandelfingen,0,60,64,32,1,1,0,1,8,1
Laufen-Uhwiesen,0,21,55,13,0,1,0,0,11,1
Marthalen,0,73,75,60,0,0,0,5,22,1
Ossingen,0,50,78,46,0,1,0,10,5,1
Rheinau,0,26,47,14,0,0,0,3,11,1
Thalheim an der Thur,0,36,31,16,0,0,0,0,3,1
Trüllikon,0,61,75,21,0,0,0,0,7,1
Truttikon,0,25,18,12,0,0,0,0,2,1
Volken,0,17,15,20,0,0,0,0,1,1
Bachenbülach,0,8,23,16,0,4,0,1,5,1
Bassersdorf,0,24,72,20,1,0,0,0,7,1
Bülach,0,36,96,51,0,16,1,0,27,1
Dietlikon,0,7,17,6,1,13,0,0,4,1
Eglisau,0,41,84,47,0,0,0,3,48,1
Embrach,0,51,88,14,1,1,0,12,18,1
Freienstein-Teufen,1,47,67,35,2,0,0,2,9,1
Glattfelden,0,39,117,54,0,0,0,0,22,1
Hochfelden,0,17,25,9,1,0,1,1,9,1
Höri,0,17,16,19,0,2,0,0,0,1
Hüntwangen,0,25,47,12,8,1,0,0,7,1
Kloten,0,25,39,14,2,10,0,0,3,1
Lufingen,0,17,19,3,0,0,0,0,1,1
Nürensdorf,0,40,33,8,0,0,0,0,4,1
Oberembrach,0,31,21,15,0,0,0,4,3,1
Opfikon,0,10,19,6,0,16,0,1,3,1
Rafz,1,32,111,65,3,1,0,1,9,1
Rorbas,0,37,105,33,0,0,0,0,10,1
Wallisellen,0,13,32,9,0,121,0,6,21,1
Wasterkingen,0,30,15,11,0,0,0,0,7,1
Wil (ZH),0,43,46,26,0,0,0,3,7,1
Winkel,0,21,25,10,0,0,0,0,2,1
Bachs,0,33,29,10,0,1,0,2,4,1
Boppelsen,0,11,23,5,1,0,0,0,3,1
Buchs (ZH),0,15,26,7,0,7,0,1,3,1
Dällikon,0,11,11,10,1,0,0,0,4,1
Dänikon,0,12,6,3,0,0,0,0,0,1
Dielsdorf,0,12,60,14,0,2,0,0,6,1
Hüttikon,0,6,8,1,0,0,0,0,7,1
