,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Neerach,0,21,35,18,0,0,0,0,10,1
Niederglatt,0,11,14,10,0,0,0,0,5,1
Niederhasli,0,37,49,8,0,0,0,3,17,1
Niederweningen,0,27,25,9,0,0,0,2,2,1
Oberglatt,0,24,47,22,0,0,0,0,10,1
Oberweningen,0,8,19,6,0,0,0,2,6,1
Otelfingen,0,28,36,4,0,0,0,2,12,1
Regensberg,0,6,32,3,0,0,0,0,3,1
Regensdorf,0,32,67,14,0,33,1,0,1,1
Rümlang,0,21,20,15,1,7,0,9,9,1
Schleinikon,0,21,12,7,0,0,0,0,4,1
Schöfflisdorf,0,9,26,3,0,0,0,0,2,1
Stadel,0,52,87,29,1,1,0,0,3,1
Steinmaur,0,50,40,16,1,0,0,0,9,1
Weiach,1,41,27,6,1,1,0,11,4,1
Bäretswil,0,194,167,69,0,4,0,1,43,1
Bubikon,1,71,124,23,1,22,0,0,14,1
Dürnten,0,99,112,47,6,91,0,0,26,1
Fischenthal,0,212,73,27,0,1,0,0,29,1
Gossau (ZH),1,144,168,95,0,29,2,2,31,1
Grüningen,0,83,119,40,1,2,0,0,25,1
Hinwil,3,176,171,75,0,68,0,18,51,1
Rüti (ZH),0,69,193,73,1,182,1,0,44,1
Seegräben,0,30,41,13,0,4,1,0,4,1
Wald (ZH),0,280,426,113,5,13,0,11,35,1
Wetzikon (ZH),3,87,156,48,1,339,0,3,63,1
Adliswil,0,22,75,10,0,156,1,2,13,1
Kilchberg (ZH),0,1,105,14,1,107,0,4,11,1
Langnau am Albis,0,30,46,18,0,65,4,2,11,1
Oberrieden,0,16,41,19,1,75,0,2,23,1
Richterswil,0,35,87,37,0,201,0,2,72,1
Rüschlikon,0,5,73,14,2,75,0,0,25,1
Thalwil,0,9,115,43,0,227,0,23,27,1
Erlenbach (ZH),0,4,50,6,1,87,0,0,11,1
Herrliberg,5,27,66,15,2,63,0,2,3,1
Hombrechtikon,2,131,198,63,1,9,0,3,37,1
Küsnacht (ZH),2,36,117,44,1,175,0,12,15,1
Männedorf,1,32,86,45,0,152,0,7,52,1
Meilen,0,44,106,33,0,179,3,6,33,1
Oetwil am See,2,40,49,54,0,2,0,4,16,1
Stäfa,0,64,145,52,3,333,1,7,49,1
Uetikon am See,0,14,62,8,0,89,0,3,6,1
Zumikon,0,11,41,6,0,0,0,0,6,1
Zollikon,0,9,119,17,0,129,0,4,16,1
Fehraltorf,0,38,43,16,0,5,0,1,20,1
Hittnau,1,94,106,36,6,3,0,1,26,1
Lindau,1,47,81,19,0,1,0,10,12,1
Pfäffikon,0,114,221,65,1,23,1,12,33,1
Russikon,1,97,68,39,0,0,1,14,12,1
Weisslingen,0,91,74,20,0,1,0,3,16,1
Wila,0,67,50,16,0,1,0,6,12,1
Wildberg,0,68,26,6,1,0,0,1,10,1
Dübendorf,0,42,65,21,1,107,0,3,17,1
Egg,1,114,128,56,0,1,0,4,37,1
Fällanden,0,13,33,12,1,19,1,1,6,1
Greifensee,0,12,26,7,1,1,0,5,2,1
Maur,0,81,88,49,0,5,1,1,21,1
Mönchaltorf,0,45,63,22,0,6,0,0,8,1
Schwerzenbach,0,8,13,8,0,1,0,0,1,1
Uster,1,83,160,69,2,469,0,10,31,1
Volketswil,0,53,93,26,1,39,0,2,13,1
Wangen-Brüttisellen,0,34,59,8,0,9,0,1,8,1
Altikon,0,29,34,8,0,0,0,0,4,1
Brütten,0,11,33,14,0,2,0,0,7,1
Dägerlen,0,46,24,10,0,0,0,4,4,1
Dättlikon,0,21,17,2,0,0,0,2,0,1
Dinhard,0,41,34,12,0,0,0,0,2,1
Ellikon an der Thur,0,18,37,3,1,1,0,1,5,1
Elsau,0,44,53,38,0,1,0,0,9,1
Hagenbuch,0,51,28,12,0,0,0,2,6,1
Hettlingen,0,19,21,15,1,0,1,3,3,1
Neftenbach,0,45,100,57,0,0,0,5,5,1
Pfungen,0,30,59,14,0,17,0,0,7,1
Rickenbach (ZH),0,41,50,19,0,0,0,3,8,1
Schlatt (ZH),0,55,23,17,0,0,0,0,2,1
Seuzach,0,31,42,28,0,2,0,1,9,1
Turbenthal,0,133,112,42,0,1,0,18,13,1
Winterthur,0,290,546,373,1,1600,7,486,51,1
Zell (ZH),0,104,119,45,0,1,0,6,16,1
Aesch (ZH),0,10,15,8,0,0,0,3,2,1
Birmensdorf (ZH),0,40,61,24,1,3,0,0,5,1
Dietikon,0,18,114,21,0,136,0,2,9,1
Geroldswil,0,2,2,1,0,1,0,0,3,1
Oberengstringen,0,3,7,0,0,18,0,0,5,1
Oetwil an der Limmat,0,9,9,1,0,0,0,0,0,1
Schlieren,0,9,49,2,0,58,0,26,3,1
Uitikon,0,4,18,9,1,0,0,0,4,1
Unterengstringen,0,9,21,7,0,5,0,0,4,1
Urdorf,0,14,17,4,0,27,0,1,6,1
Weiningen (ZH),0,28,37,1,1,9,0,2,6,1
Zürich,0,114,1378,466,36,6133,1,449,16,1
Andelfingen,0,63,78,30,0,2,0,30,47,1
Stammheim,0,141,139,19,1,0,0,78,18,1
Wädenswil,1,223,293,75,4,270,1,12,93,1
Elgg,0,78,85,38,0,3,1,71,15,1
Horgen,0,139,258,108,12,243,0,21,44,1
Illnau-Effretikon,0,131,191,124,1,30,0,5,48,1
Bauma,4,292,195,61,3,2,1,1,33,1
Wiesendangen,0,114,89,47,1,5,0,1,12,1
Aarberg,0,23,51,11,0,28,1,3,13,2
Bargen (BE),0,33,36,12,0,0,0,0,1,2
Grossaffoltern,0,89,111,31,1,0,0,4,11,2
Kallnach,0,69,73,19,0,0,0,0,14,2
Kappelen,0,26,39,8,0,1,0,0,6,2
Lyss,1,26,77,28,0,18,0,3,12,2
Meikirch,0,56,22,8,0,2,0,5,5,2
Radelfingen,0,80,44,16,0,0,0,1,4,2
Rapperswil (BE),0,120,100,35,0,2,0,12,8,2
Schüpfen,0,82,78,21,0,1,0,39,7,2
Seedorf (BE),1,98,95,24,0,0,0,4,7,2
Aarwangen,0,64,68,14,0,1,0,4,12,2
Auswil,0,32,12,2,0,0,0,0,0,2
Bannwil,2,25,23,12,0,0,0,1,3,2
Bleienbach,1,43,28,15,0,0,0,0,7,2
Busswil bei Melchnau,0,21,8,4,0,0,0,0,2,2
Gondiswil,0,66,17,9,0,0,0,0,5,2
Langenthal,1,75,65,26,1,244,1,1,11,2
Lotzwil,0,25,16,4,0,70,0,1,3,2
Madiswil,0,152,77,51,1,2,0,7,27,2
Melchnau,0,56,33,19,0,0,0,12,9,2
Oeschenbach,0,31,7,3,0,0,0,0,0,2
Reisiswil,0,21,3,3,0,0,0,0,0,2
Roggwil (BE),2,40,103,33,0,1,0,7,9,2
Rohrbach,0,46,36,13,0,0,0,2,11,2
Rohrbachgraben,0,44,2,1,0,0,0,0,1,2
Rütschelen,0,24,17,12,0,0,0,2,5,2
Schwarzhäusern,0,18,6,7,0,0,1,0,5,2
Thunstetten,2,38,46,15,1,16,0,0,11,2
Ursenbach,0,88,32,9,0,0,0,0,6,2
Wynau,0,30,59,10,0,0,0,0,8,2
Bern,2,162,1097,253,4,2384,0,206,118,2
Bolligen,0,73,42,12,0,0,0,4,8,2
Bremgarten bei Bern,0,7,25,7,0,3,0,1,1,2
Kirchlindach,1,56,45,13,0,0,0,8,6,2
Köniz,0,259,198,95,1,77,1,11,31,2
Muri bei Bern,0,22,56,9,0,103,0,1,6,2
Oberbalm,0,107,7,1,0,0,0,0,6,2
Stettlen,0,19,30,5,1,4,0,0,5,2
Vechigen,1,215,76,23,0,1,0,3,4,2
Wohlen bei Bern,0,205,104,40,2,5,0,7,14,2
Zollikofen,0,19,56,7,0,26,0,2,6,2
Ittigen,0,2,11,1,0,4,0,0,0,2
Ostermundigen,0,13,47,11,0,30,0,1,8,2
Biel/Bienne,1,29,339,47,0,916,1,11,46,2
Evilard,0,10,24,4,0,35,0,0,2,2
Arch,0,20,34,3,0,11,0,1,3,2
Büetigen,0,10,21,8,0,0,0,13,0,2
Büren an der Aare,1,26,89,11,0,27,0,0,13,2
Diessbach bei Büren,0,25,46,5,2,1,0,1,2,2
Dotzigen,0,24,29,7,2,1,0,2,0,2
Lengnau (BE),0,8,37,7,0,55,0,8,3,2
Leuzigen,0,34,52,17,1,7,0,0,7,2
Meienried,0,4,5,2,0,0,0,0,0,2
Meinisberg,1,8,38,4,0,0,0,3,4,2
Oberwil bei Büren,1,39,39,10,0,1,0,2,6,2
Pieterlen,0,19,62,7,0,0,0,19,9,2
Rüti bei Büren,0,24,42,10,1,0,0,1,3,2
Wengi,1,24,34,14,0,0,0,2,2,2
Aefligen,0,10,14,2,0,15,0,2,0,2
Alchenstorf,1,32,16,7,1,1,0,6,1,2
Bäriswil,0,14,35,3,0,0,0,2,3,2
Burgdorf,0,49,161,35,0,350,0,13,13,2
Ersigen,2,89,49,6,0,9,0,1,2,2
Hasle bei Burgdorf,3,188,76,20,0,3,0,4,8,2
Heimiswil,0,217,37,7,0,0,1,2,10,2
Hellsau,0,4,11,0,0,0,0,4,0,2
Hindelbank,0,36,54,10,0,0,0,6,15,2
Höchstetten,0,15,7,2,0,1,0,3,2,2
Kernenried,0,21,11,2,0,0,0,1,1,2
Kirchberg (BE),0,42,23,9,0,39,0,7,4,2
Koppigen,0,29,66,13,1,3,0,3,4,2
Krauchthal,0,86,50,10,0,0,0,8,8,2
Lyssach,0,33,24,9,0,6,0,3,4,2
Oberburg,1,101,45,13,0,49,1,0,3,2
Rüdtligen-Alchenflüh,1,12,14,4,0,24,0,4,2,2
Rumendingen,0,15,4,1,0,0,0,1,1,2
Rüti bei Lyssach,0,9,6,1,0,0,0,0,3,2
Willadingen,1,7,8,0,0,0,0,2,0,2
Wynigen,1,195,47,16,0,1,0,8,7,2
Corgémont,0,25,48,3,0,1,0,9,5,2
Cormoret,1,13,53,1,0,0,0,0,4,2
Cortébert,0,28,43,1,0,0,0,0,4,2
Courtelary,0,24,63,1,0,0,0,3,8,2
La Ferrière,0,42,36,2,0,1,0,0,6,2
Mont-Tramelan,0,11,3,2,0,0,0,0,0,2
Orvin,0,49,47,6,0,1,0,0,7,2
Renan (BE),2,47,42,8,0,3,0,20,2,2
Romont (BE),0,13,8,1,1,0,0,0,1,2
Saint-Imier,1,31,188,5,0,132,0,1,10,2
Sonceboz-Sombeval,0,19,82,1,0,0,0,0,5,2
Sonvilier,1,50,99,7,0,1,1,0,6,2
Tramelan,1,66,254,19,1,1,2,1,12,2
Villeret,1,25,78,4,0,1,2,2,2,2
Sauge,1,26,37,5,0,1,1,0,10,2
Péry-La Heutte,0,32,77,4,0,1,0,3,3,2
Brüttelen,1,23,26,12,0,0,0,0,4,2
Erlach,0,11,80,13,0,0,0,1,8,2
Finsterhennen,0,3,25,4,0,0,0,0,0,2
Gals,0,11,27,11,1,0,0,4,5,2
Gampelen,0,10,38,7,0,2,0,0,3,2
Ins,0,25,65,21,0,25,0,1,8,2
Lüscherz,0,7,13,10,0,0,0,0,1,2
Müntschemier,0,7,35,11,0,0,0,1,3,2
Siselen,0,8,26,4,0,0,0,0,3,2
Treiten,0,6,24,2,0,0,0,0,2,2
Tschugg,0,11,17,11,0,0,0,0,4,2
Vinelz,0,11,14,12,1,0,0,19,2,2
Bätterkinden,0,22,48,10,0,22,0,0,8,2
Deisswil bei Münchenbuchsee,0,14,0,1,1,0,0,2,1,2
Fraubrunnen,2,135,106,41,1,1,1,15,18,2
Jegenstorf,0,50,47,22,0,9,0,13,5,2
Iffwil,0,18,19,1,0,0,1,5,1,2
Mattstetten,0,11,20,0,0,1,0,2,2,2
Moosseedorf,1,22,20,3,1,11,0,0,5,2
Münchenbuchsee,0,39,125,10,1,4,0,9,6,2
Urtenen-Schönbühl,0,13,17,6,0,9,0,11,3,2
Utzenstorf,0,63,63,18,0,23,0,1,11,2
Wiggiswil,0,8,10,1,0,0,0,0,1,2
Wiler bei Utzenstorf,0,16,11,4,0,0,0,0,2,2
Zielebach,0,9,8,7,0,2,0,0,6,2
Zuzwil (BE),0,16,22,1,0,0,0,1,0,2
Adelboden,0,234,114,9,0,0,0,0,11,2
Aeschi bei Spiez,0,92,81,12,0,3,0,1,15,2
Frutigen,1,324,192,45,0,0,2,8,28,2
Kandergrund,0,146,42,1,0,1,1,0,1,2
Kandersteg,0,127,89,5,1,0,2,4,10,2
Krattigen,1,24,30,10,1,0,0,1,10,2
Reichenbach im Kandertal,0,238,108,21,0,1,1,2,25,2
Beatenberg,3,119,85,3,1,1,2,0,15,2
Bönigen,1,34,100,21,5,59,0,1,19,2
Brienz (BE),0,127,152,22,0,1,1,6,11,2
Brienzwiler,0,49,48,8,0,0,0,0,3,2
Därligen,0,25,32,2,0,0,7,0,4,2
Grindelwald,0,206,199,21,1,0,2,25,33,2
Gsteigwiler,0,29,35,4,0,0,3,5,11,2
Gündlischwand,0,26,27,1,0,0,0,0,0,2
Habkern,0,106,20,0,0,0,4,0,7,2
Hofstetten bei Brienz,0,25,25,4,0,0,0,3,3,2
Interlaken,0,7,175,11,0,90,0,19,12,2
Iseltwald,1,64,50,9,0,1,0,0,9,2
Lauterbrunnen,1,204,272,11,0,1,1,1,53,2
Leissigen,0,24,51,1,0,1,0,0,13,2
Lütschental,0,62,13,9,0,1,1,0,7,2
Matten bei Interlaken,0,28,96,15,1,58,0,7,28,2
Niederried bei Interlaken,0,17,19,2,0,0,0,0,1,2
Oberried am Brienzersee,0,30,31,5,0,0,0,0,4,2
Ringgenberg (BE),1,60,102,19,0,0,0,4,17,2
Saxeten,0,15,6,1,0,0,0,0,2,2
Schwanden bei Brienz,0,31,21,3,0,0,0,0,1,2
Unterseen,0,33,83,20,1,95,2,5,32,2
Wilderswil,0,88,154,22,1,1,1,5,25,2
Arni (BE),0,97,29,13,0,0,0,1,6,2
Biglen,1,41,34,14,0,1,0,0,7,2
Bowil,0,132,30,12,0,0,0,1,6,2
Brenzikofen,0,26,16,3,0,0,0,0,2,2
Freimettigen,0,15,5,4,0,0,0,0,0,2
Grosshöchstetten,2,42,71,9,2,1,0,2,9,2
Häutligen,0,28,2,0,0,0,0,0,2,2
Herbligen,0,26,11,3,0,0,0,1,2,2
Kiesen,0,15,26,2,0,0,0,2,1,2
Konolfingen,2,103,87,25,2,1,1,1,14,2
Landiswil,1,71,24,5,0,0,0,1,1,2
Linden,0,97,30,22,0,0,0,3,10,2
Mirchel,0,28,13,6,0,0,0,0,0,2
Münsingen,1,79,95,51,2,3,0,11,8,2
Niederhünigen,0,37,14,4,0,0,1,0,3,2
Oberdiessbach,0,120,81,14,2,1,0,4,5,2
Oberthal,0,78,12,4,0,0,0,0,8,2
Oppligen,0,25,19,5,0,0,0,0,0,2
Rubigen,0,24,33,3,1,0,0,0,3,2
Walkringen,0,148,48,3,0,0,0,2,9,2
Worb,0,143,133,39,0,10,1,18,20,2
Zäziwil,0,63,40,6,0,0,0,2,9,2
Oberhünigen,0,28,7,2,0,0,0,0,0,2
Allmendingen,0,22,14,1,0,1,0,0,1,2
Wichtrach,0,59,59,25,0,0,0,0,18,2
Ferenbalm,1,39,44,14,1,0,1,0,6,2
Frauenkappelen,0,31,28,8,0,0,0,1,6,2
Gurbrü,0,6,13,3,0,0,0,0,4,2
Kriechenwil,0,16,18,2,1,0,0,0,1,2
Laupen,1,15,71,13,1,0,0,4,11,2
Mühleberg,1,92,107,22,0,0,0,1,18,2
Münchenwiler,0,6,25,12,0,0,0,0,0,2
Neuenegg,0,92,100,21,0,1,2,0,14,2
Wileroltigen,0,19,14,3,0,0,0,1,1,2
Belprahon,0,8,8,0,0,0,0,0,1,2
Champoz,0,14,13,0,0,0,1,0,0,2
Corcelles (BE),0,11,14,0,0,0,0,0,2,2
Court,0,29,78,4,0,0,0,0,1,2
Crémines,0,31,34,0,0,0,0,0,3,2
Eschert,0,6,18,4,0,0,0,0,2,2
Grandval,0,22,18,2,0,0,0,0,2,2
Loveresse,1,11,19,5,0,0,0,0,2,2
Perrefitte,0,14,28,1,0,0,0,0,1,2
Reconvilier,0,24,80,5,0,0,0,9,6,2
Roches (BE),0,12,15,1,0,0,0,0,0,2
Saicourt,0,20,39,7,1,0,0,0,2,2
Saules (BE),1,12,9,0,0,0,0,0,3,2
Schelten,0,10,1,0,0,0,0,0,0,2
Seehof,0,8,1,0,0,0,0,0,0,2
Sorvilier,0,17,25,2,0,0,0,0,1,2
Tavannes,0,21,114,11,0,0,0,1,4,2
Rebévelier,0,3,0,0,0,0,0,0,0,2
Petit-Val,0,58,20,3,0,0,0,0,1,2
Valbirse,0,28,110,5,0,0,1,0,7,2
La Neuveville,0,22,206,19,0,1,0,3,26,2
Nods,0,35,39,12,0,1,1,0,8,2
Plateau de Diesse,0,35,96,17,1,1,0,2,11,2
Aegerten,0,9,19,8,0,0,0,0,1,2
Bellmund,1,11,18,0,0,0,0,0,3,2
Brügg,0,14,62,14,1,4,0,0,7,2
Bühl,0,10,15,4,0,0,0,0,4,2
Epsach,0,21,12,5,0,0,0,0,1,2
Hagneck,0,3,5,3,0,0,0,0,1,2
Hermrigen,0,9,10,7,0,0,0,0,3,2
Jens,0,19,23,11,0,0,0,0,10,2
Ipsach,0,1,5,0,0,5,0,0,2,2
Ligerz,0,4,58,10,1,0,0,17,5,2
Merzligen,0,12,7,9,0,0,0,0,1,2
Mörigen,0,6,5,2,0,0,0,0,0,2
Nidau,0,4,82,5,0,74,0,6,5,2
Orpund,0,8,34,9,0,4,0,0,6,2
Port,0,2,13,1,0,2,0,2,1,2
Safnern,0,13,43,6,0,3,0,3,7,2
Scheuren,0,7,15,2,0,0,0,0,1,2
Schwadernau,0,11,24,6,0,0,0,0,0,2
Studen (BE),0,2,12,3,0,0,0,0,3,2
Sutz-Lattrigen,0,16,19,6,0,2,1,0,2,2
Täuffelen,0,9,43,23,2,0,0,0,10,2
Walperswil,1,26,19,9,0,1,0,0,9,2
Worben,0,8,16,9,0,0,0,0,2,2
Twann-Tüscherz,0,30,108,11,1,1,0,0,21,2
Därstetten,0,95,40,15,0,0,0,3,4,2
Diemtigen,0,392,82,21,1,0,2,1,6,2
Erlenbach im Simmental,1,183,60,19,3,0,9,12,9,2
Oberwil im Simmental,1,142,41,5,0,0,0,1,6,2
Reutigen,1,61,48,4,0,0,1,16,7,2
Spiez,0,103,206,59,1,1,0,6,29,2
Wimmis,0,43,56,14,0,0,0,48,11,2
Stocken-Höfen,0,52,41,11,0,0,0,0,5,2
Guttannen,0,32,9,2,0,0,0,0,2,2
Hasliberg,0,132,46,14,0,1,1,0,3,2
Innertkirchen,0,218,69,13,0,1,8,1,9,2
Meiringen,0,93,152,23,0,1,0,29,6,2
Schattenhalb,0,73,49,7,0,0,0,1,4,2
Boltigen,0,201,78,8,0,0,2,1,20,2
Lenk,3,358,91,29,2,3,71,0,28,2
St. Stephan,0,245,46,4,0,6,61,2,20,2
Zweisimmen,2,210,86,36,1,0,0,29,19,2
Gsteig,0,87,50,7,0,8,0,1,1,2
Lauenen,0,105,20,0,0,1,1,3,6,2
Saanen,4,552,283,28,1,12,2,18,33,2
Guggisberg,0,200,62,10,3,2,0,4,12,2
Rüschegg,1,108,56,30,0,0,1,7,5,2
Schwarzenburg,0,262,126,40,0,0,0,25,13,2
Belp,1,79,132,26,1,6,0,7,13,2
Burgistein,0,72,48,12,0,2,0,0,4,2
Gerzensee,0,45,34,4,0,1,0,2,8,2
Gurzelen,0,44,21,5,0,1,0,0,0,2
Jaberg,0,8,2,2,0,0,0,1,0,2
Kaufdorf,1,15,19,2,0,0,0,0,4,2
Kehrsatz,0,23,23,6,0,1,0,0,6,2
Kirchdorf (BE),1,62,53,14,0,1,0,6,4,2
Niedermuhlern,0,48,16,5,0,0,0,0,1,2
Riggisberg,0,128,77,12,3,0,0,8,7,2
Rüeggisberg,2,187,43,13,0,0,0,8,9,2
Seftigen,0,34,20,14,0,0,0,2,7,2
Toffen,0,20,29,5,0,0,0,0,4,2
Uttigen,0,24,27,9,0,1,0,1,1,2
Wattenwil,0,105,65,26,0,0,0,1,11,2
Wald (BE),0,53,29,16,0,1,2,5,5,2
Thurnen,0,40,48,11,0,0,0,0,3,2
Eggiwil,0,265,44,10,0,0,0,1,6,2
Langnau im Emmental,1,380,223,31,0,2,0,11,37,2
Lauperswil,0,209,55,18,0,0,0,1,12,2
Röthenbach im Emmental,0,135,27,6,0,1,0,1,4,2
Rüderswil,2,190,52,11,0,0,2,2,7,2
Schangnau,1,101,19,10,0,0,2,4,0,2
Signau,1,189,82,28,0,0,0,1,19,2
Trub,2,239,19,7,0,0,0,1,6,2
Trubschachen,2,85,35,6,0,1,0,0,7,2
Amsoldingen,0,30,23,9,0,1,0,0,0,2
Blumenstein,0,64,29,10,1,0,0,1,4,2
Buchholterberg,0,115,42,11,0,0,0,1,9,2
Eriz,0,60,9,7,0,1,0,0,2,2
Fahrni,0,50,17,1,0,0,0,0,5,2
Heiligenschwendi,1,40,14,8,0,0,1,2,3,2
Heimberg,0,35,51,8,0,0,0,0,4,2
Hilterfingen,2,21,34,9,1,43,0,0,6,2
Homberg,0,52,5,2,0,0,0,1,1,2
Horrenbach-Buchen,0,51,3,0,0,0,0,0,0,2
Oberhofen am Thunersee,0,17,46,13,1,42,2,0,9,2
Oberlangenegg,0,42,13,6,0,1,0,0,3,2
Pohlern,0,16,14,1,0,0,0,0,1,2
Sigriswil,5,220,177,45,17,2,5,0,21,2
Steffisburg,0,123,129,34,1,124,0,13,25,2
Teuffenthal (BE),0,27,1,0,0,0,0,1,1,2
Thierachern,0,36,37,10,0,0,0,0,2,2
Thun,0,89,248,41,0,386,0,2,55,2
Uebeschi,0,33,16,4,0,2,0,0,1,2
Uetendorf,0,59,61,36,0,1,0,3,10,2
Unterlangenegg,2,72,30,6,0,0,0,2,6,2
Wachseldorn,0,26,6,3,0,0,0,0,2,2
Forst-Längenbühl,1,42,12,6,0,2,0,0,4,2
Affoltern im Emmental,1,78,29,7,0,0,0,2,11,2
Dürrenroth,1,118,37,15,0,1,0,0,15,2
Eriswil,0,140,52,7,0,0,1,0,4,2
Huttwil,0,132,130,46,1,1,0,43,9,2
Lützelflüh,2,231,95,16,2,1,0,20,14,2
Rüegsau,3,178,67,9,1,1,1,5,13,2
Sumiswald,3,363,83,25,0,0,0,82,30,2
Trachselwald,0,151,25,8,0,0,0,1,3,2
Walterswil (BE),0,57,10,5,0,0,0,1,3,2
Wyssachen,0,117,32,5,0,0,0,2,8,2
Attiswil,0,23,60,10,0,0,0,0,4,2
Berken,0,5,1,1,1,0,0,0,0,2
Bettenhausen,0,22,11,3,0,7,0,6,9,2
Farnern,0,3,18,1,0,0,0,0,2,2
Graben,0,25,9,3,0,0,0,0,3,2
Heimenhausen,0,49,30,15,0,4,0,1,8,2
Herzogenbuchsee,0,42,71,34,0,91,0,3,12,2
Inkwil,1,18,17,11,0,0,0,1,11,2
Niederbipp,1,45,138,16,0,14,0,2,15,2
Niederönz,0,14,9,8,0,5,0,0,4,2
Oberbipp,0,20,26,14,0,1,0,0,8,2
Ochlenberg,0,97,9,12,0,2,0,0,1,2
Rumisberg,1,19,17,5,1,0,0,1,3,2
Seeberg,0,104,52,13,0,1,0,2,24,2
Thörigen,0,28,26,6,0,5,1,1,4,2
Walliswil bei Niederbipp,0,8,4,4,0,0,0,0,0,2
Walliswil bei Wangen,0,18,22,7,0,0,0,1,6,2
Wangen an der Aare,0,38,82,20,0,0,1,5,11,2
Wiedlisbach,0,23,62,10,0,0,0,6,8,2
Doppleschwand,0,30,11,4,0,1,0,0,1,3
Entlebuch,0,113,37,20,2,0,1,6,5,3
Flühli,0,141,21,6,0,0,0,0,4,3
Hasle (LU),0,61,17,11,1,0,2,0,3,3
Romoos,1,54,3,0,1,0,1,5,1,3
Schüpfheim,0,127,62,19,0,0,0,7,10,3
Werthenstein,0,51,18,9,0,0,0,2,3,3
Escholzmatt-Marbach,2,270,57,28,1,0,1,31,10,3
Aesch (LU),0,18,16,12,0,0,0,3,7,3
Ballwil,1,31,21,7,0,1,0,6,5,3
Emmen,2,39,41,11,0,9,0,2,3,3
Ermensee,0,29,12,13,1,0,0,0,4,3
Eschenbach (LU),1,35,26,13,0,0,0,2,6,3
Hitzkirch,1,66,57,22,0,0,0,5,18,3
Hochdorf,0,25,57,20,0,5,0,2,6,3
Hohenrain,0,43,12,10,0,0,0,1,8,3
