,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Aeugst am Albis,0,0,1,12,0,0,0,0,0,1
Affoltern am Albis,2,1,2,44,0,0,0,7,0,1
Bonstetten,1,2,0,22,0,0,0,0,0,1
Hausen am Albis,0,3,3,38,0,0,0,0,0,1
Hedingen,1,0,3,31,0,0,0,6,0,1
Kappel am Albis,0,3,0,25,0,0,0,0,0,1
Knonau,0,6,1,18,0,0,0,7,1,1
Maschwanden,0,0,0,3,0,0,0,0,0,1
Mettmenstetten,2,3,0,43,0,1,0,0,0,1
Obfelden,0,0,0,49,0,0,0,0,0,1
Ottenbach,0,0,1,20,0,1,0,0,1,1
Rifferswil,0,4,0,27,0,0,0,6,0,1
Stallikon,0,13,6,7,0,0,0,0,0,1
Wettswil am Albis,0,1,3,47,0,0,0,0,0,1
Benken (ZH),0,0,0,15,0,0,0,1,0,1
Berg am Irchel,0,0,0,4,0,0,0,0,0,1
Buch am Irchel,0,0,0,19,0,0,0,3,0,1
Dachsen,0,0,2,6,0,0,0,0,1,1
Dorf,0,0,1,4,0,0,0,0,0,1
Feuerthalen,0,0,0,15,0,3,0,0,0,1
Flaach,0,2,0,23,0,0,0,0,0,1
Flurlingen,0,0,0,10,0,2,0,0,0,1
Henggart,0,0,0,7,0,0,0,0,0,1
Kleinandelfingen,0,0,0,26,0,1,0,0,0,1
Laufen-Uhwiesen,0,0,0,26,0,0,0,0,1,1
Marthalen,0,2,0,24,0,0,0,0,0,1
Ossingen,0,0,0,5,0,0,0,7,0,1
Rheinau,0,0,0,6,0,0,0,0,0,1
Thalheim an der Thur,0,0,0,24,0,0,0,0,0,1
Trüllikon,0,2,0,11,0,0,0,0,0,1
Truttikon,0,1,0,7,0,0,0,0,0,1
Volken,0,0,3,7,0,0,0,0,0,1
Bachenbülach,0,0,0,19,0,1,0,2,0,1
Bassersdorf,1,12,4,49,0,0,0,0,0,1
Bülach,0,14,0,86,0,24,0,0,2,1
Dietlikon,0,0,1,23,0,5,0,0,0,1
Eglisau,0,1,3,63,0,0,0,15,0,1
Embrach,0,12,3,41,0,0,0,1,0,1
Freienstein-Teufen,0,0,0,16,0,0,0,0,0,1
Glattfelden,2,0,8,47,0,0,0,0,1,1
Hochfelden,0,0,0,12,0,0,0,0,0,1
Höri,0,2,1,36,0,0,0,0,0,1
Hüntwangen,0,0,1,26,0,0,0,0,0,1
Kloten,0,5,3,15,0,9,0,0,1,1
Lufingen,0,0,1,49,0,0,0,0,0,1
Nürensdorf,0,4,0,24,0,0,0,0,0,1
Oberembrach,0,0,0,1,0,0,0,14,0,1
Opfikon,0,0,0,32,0,9,0,78,0,1
Rafz,0,0,0,37,0,0,0,10,0,1
Rorbas,0,0,0,57,0,0,0,0,0,1
Wallisellen,0,16,1,64,0,10,0,0,1,1
Wasterkingen,0,0,0,11,0,0,0,0,0,1
Wil (ZH),0,12,1,23,0,0,0,0,0,1
Winkel,0,1,0,24,0,16,0,0,0,1
Bachs,0,1,0,10,0,0,0,1,0,1
Boppelsen,0,0,1,7,0,0,1,0,0,1
