,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Aeugst am Albis,0,3,14,13,0,0,0,0,0,1
Affoltern am Albis,0,7,125,15,0,1,0,10,0,1
Bonstetten,0,1,57,9,0,0,0,0,0,1
Hausen am Albis,0,8,34,10,0,0,0,3,1,1
Hedingen,0,12,28,10,0,0,0,1,0,1
Kappel am Albis,0,1,10,4,0,0,0,0,0,1
Knonau,0,4,35,0,0,0,0,0,0,1
Maschwanden,0,3,2,1,0,0,0,0,0,1
Mettmenstetten,0,15,22,22,0,0,0,0,0,1
Obfelden,0,3,45,37,0,6,0,1,1,1
Ottenbach,1,2,25,14,0,0,0,0,2,1
Rifferswil,0,3,9,0,0,0,1,0,0,1
Stallikon,1,2,73,23,0,0,0,0,2,1
Wettswil am Albis,0,0,118,22,1,0,0,0,0,1
Benken (ZH),0,2,16,1,0,0,0,1,0,1
Berg am Irchel,0,1,3,1,0,0,0,0,0,1
Buch am Irchel,0,4,2,2,0,0,0,1,0,1
Dachsen,0,3,17,4,0,0,0,0,0,1
Dorf,0,1,2,2,0,0,0,0,1,1
Feuerthalen,0,0,41,4,0,7,0,0,2,1
Flaach,0,8,23,11,0,0,0,1,0,1
Flurlingen,0,0,19,0,0,2,0,0,0,1
Henggart,0,0,25,5,0,0,0,0,2,1
Kleinandelfingen,0,2,31,2,0,0,0,0,3,1
Laufen-Uhwiesen,0,1,49,8,0,0,0,0,4,1
Marthalen,0,3,12,5,0,0,0,2,1,1
Ossingen,0,4,17,10,0,0,0,1,1,1
Rheinau,0,0,14,6,0,0,0,0,1,1
Thalheim an der Thur,0,5,9,5,0,0,0,0,0,1
Trüllikon,0,1,10,2,0,0,0,1,1,1
Truttikon,0,3,4,2,0,0,0,0,0,1
Volken,0,0,1,0,0,0,0,0,0,1
Bachenbülach,0,0,60,11,0,5,0,0,1,1
Bassersdorf,0,3,97,23,6,0,0,6,1,1
Bülach,1,3,175,42,0,25,0,1,3,1
Dietlikon,0,2,99,12,0,53,0,0,4,1
Eglisau,0,5,37,11,0,0,0,0,1,1
Embrach,0,11,108,5,0,1,0,7,4,1
Freienstein-Teufen,0,3,33,6,0,0,0,0,0,1
Glattfelden,0,7,33,11,0,0,0,0,0,1
Hochfelden,0,0,18,2,0,1,0,0,0,1
Höri,0,1,77,16,0,1,0,0,2,1
Hüntwangen,0,0,23,6,0,0,0,0,0,1
Kloten,0,12,246,53,6,68,0,20,2,1
Lufingen,0,2,43,8,0,0,0,0,1,1
Nürensdorf,0,18,133,28,2,0,0,0,2,1
Oberembrach,0,5,12,8,0,0,0,0,0,1
Opfikon,0,1,166,37,0,28,0,0,0,1
Rafz,0,7,47,17,1,0,0,4,1,1
Rorbas,0,3,18,3,1,0,0,0,0,1
Wallisellen,0,3,66,10,0,81,0,1,3,1
Wasterkingen,0,2,7,1,0,0,0,0,1,1
Wil (ZH),0,6,26,7,0,0,0,0,0,1
Winkel,0,1,64,16,0,0,0,0,2,1
Bachs,0,0,8,1,0,0,0,0,0,1
Boppelsen,0,0,22,2,0,0,0,0,1,1
Buchs (ZH),0,0,62,7,0,5,0,0,2,1
Dällikon,1,1,89,21,0,1,0,0,5,1
Dänikon,0,0,20,1,0,0,0,0,1,1
Dielsdorf,0,3,111,16,0,0,0,0,3,1
Hüttikon,0,1,16,4,0,0,0,0,2,1
Neerach,0,0,38,9,0,0,0,0,0,1
Niederglatt,0,2,96,10,1,0,0,1,0,1
Niederhasli,0,5,113,18,2,16,0,0,2,1
Niederweningen,0,7,19,4,0,0,0,14,0,1
Oberglatt,0,2,66,2,0,0,0,0,1,1
Oberweningen,0,3,18,3,0,0,0,7,4,1
Otelfingen,0,1,37,2,0,0,0,0,2,1
Regensberg,0,2,10,1,0,0,0,0,0,1
Regensdorf,3,3,174,23,1,12,0,0,9,1
Rümlang,0,3,86,14,0,68,0,15,2,1
Schleinikon,0,4,15,3,0,0,0,0,0,1
Schöfflisdorf,0,2,11,3,0,0,0,0,0,1
Stadel,0,3,34,9,0,0,0,0,0,1
Steinmaur,0,4,46,6,2,0,0,0,1,1
Weiach,0,2,19,0,0,0,0,0,0,1
Bäretswil,0,13,58,15,0,0,0,0,8,1
Bubikon,0,2,145,21,0,7,0,0,4,1
Dürnten,0,2,80,17,1,8,0,0,1,1
Fischenthal,0,15,16,2,0,0,0,0,1,1
Gossau (ZH),0,4,156,35,2,13,1,0,0,1
Grüningen,0,4,52,7,0,0,0,0,0,1
Hinwil,0,13,163,23,0,21,0,3,4,1
Rüti (ZH),1,2,102,10,1,22,0,1,1,1
Seegräben,0,2,17,1,0,1,0,0,1,1
Wald (ZH),0,17,81,24,3,1,0,1,2,1
Wetzikon (ZH),1,3,137,42,0,88,0,1,2,1
Adliswil,2,3,300,46,4,122,0,3,7,1
Kilchberg (ZH),0,0,111,2,3,21,0,2,0,1
Langnau am Albis,0,6,124,14,0,44,2,2,0,1
Oberrieden,0,0,40,12,0,12,0,1,0,1
Richterswil,0,2,95,21,1,46,0,0,3,1
Rüschlikon,0,2,70,8,4,3,0,4,2,1
Thalwil,0,2,123,19,3,38,0,7,2,1
Erlenbach (ZH),0,0,63,7,0,27,0,0,1,1
Herrliberg,4,1,95,13,0,24,0,1,2,1
Hombrechtikon,0,4,148,30,1,2,0,1,4,1
Küsnacht (ZH),1,1,147,25,1,51,0,2,1,1
Männedorf,0,2,102,17,1,21,0,0,3,1
Meilen,0,3,115,12,0,31,0,11,4,1
Oetwil am See,2,3,68,12,1,0,0,15,1,1
Stäfa,0,2,164,21,0,26,0,0,0,1
Uetikon am See,1,1,48,9,0,7,0,1,2,1
Zumikon,0,0,135,28,0,0,0,1,2,1
Zollikon,2,1,181,3,2,57,1,2,2,1
Fehraltorf,0,3,41,9,0,3,0,1,2,1
Hittnau,0,3,29,8,0,0,0,1,2,1
Lindau,0,8,67,10,0,0,0,3,1,1
Pfäffikon,0,6,124,25,3,5,0,2,1,1
Russikon,0,5,102,23,0,0,0,0,4,1
Weisslingen,0,6,72,8,0,0,0,1,3,1
Wila,0,8,35,9,0,0,0,0,2,1
Wildberg,0,1,18,7,1,0,0,0,0,1
Dübendorf,0,1,271,50,3,150,2,3,10,1
Egg,0,5,241,29,0,4,0,1,5,1
Fällanden,0,4,193,41,1,55,0,10,2,1
Greifensee,0,8,38,27,5,58,0,37,0,1
Maur,0,9,162,32,2,3,0,0,6,1
Mönchaltorf,0,2,40,5,0,5,0,0,0,1
Schwerzenbach,0,0,110,12,3,5,0,0,0,1
Uster,0,9,179,34,5,141,0,2,4,1
Volketswil,0,7,179,15,2,67,0,1,2,1
Wangen-Brüttisellen,0,2,72,9,0,5,0,0,1,1
Altikon,0,7,13,2,0,0,0,0,1,1
Brütten,0,2,41,10,0,0,0,0,1,1
Dägerlen,0,3,10,0,0,0,0,0,0,1
Dättlikon,0,3,7,2,0,0,0,1,0,1
Dinhard,0,2,21,2,0,0,0,0,0,1
Ellikon an der Thur,0,3,11,1,0,0,0,0,1,1
Elsau,0,1,34,19,0,0,0,6,0,1
Hagenbuch,0,3,8,2,0,0,0,0,1,1
Hettlingen,0,5,56,11,0,0,0,2,7,1
Neftenbach,0,2,50,20,0,0,0,1,1,1
Pfungen,0,3,64,7,0,17,0,0,2,1
Rickenbach (ZH),0,4,128,32,0,0,0,2,6,1
Schlatt (ZH),0,1,18,6,0,0,0,0,1,1
Seuzach,0,4,146,51,0,1,0,1,2,1
Turbenthal,0,5,53,9,0,0,0,2,2,1
Winterthur,0,28,630,180,0,307,0,178,0,1
Zell (ZH),0,3,120,18,0,0,0,0,2,1
Aesch (ZH),0,1,22,9,0,0,0,0,1,1
Birmensdorf (ZH),0,7,113,19,0,6,0,0,4,1
Dietikon,0,2,136,12,0,146,0,36,1,1
Geroldswil,0,2,114,9,4,5,0,3,0,1
Oberengstringen,0,0,97,5,0,22,0,1,0,1
Oetwil an der Limmat,0,0,24,6,1,0,0,0,2,1
Schlieren,0,0,58,1,0,39,0,3,1,1
Uitikon,0,0,180,10,0,2,0,0,2,1
Unterengstringen,0,2,62,15,2,6,0,20,3,1
Urdorf,0,1,223,18,0,49,0,0,0,1
Weiningen (ZH),0,1,62,7,0,5,0,2,0,1
Zürich,0,18,760,91,1,870,0,303,0,1
Andelfingen,0,8,75,9,0,0,0,7,4,1
Stammheim,0,8,27,6,0,0,0,11,0,1
Wädenswil,1,16,253,34,4,60,0,0,8,1
Elgg,0,4,59,31,0,0,0,0,5,1
Horgen,0,4,68,19,1,35,0,66,4,1
Illnau-Effretikon,0,15,190,67,2,120,0,0,7,1
Bauma,0,15,50,12,0,0,0,1,1,1
Wiesendangen,0,14,112,50,0,0,1,1,5,1
Aarberg,0,0,72,15,0,14,0,0,0,2
Bargen (BE),0,4,21,3,0,0,0,0,0,2
Grossaffoltern,0,12,71,25,1,0,0,0,3,2
Kallnach,0,4,25,4,0,0,0,0,2,2
Kappelen,0,2,25,1,0,0,0,0,0,2
Lyss,1,13,185,23,0,21,0,3,3,2
Meikirch,0,7,80,13,0,0,0,1,3,2
Radelfingen,0,8,7,4,0,0,0,0,0,2
Rapperswil (BE),0,6,32,10,0,1,0,0,0,2
Schüpfen,0,7,44,6,0,0,0,16,2,2
Seedorf (BE),0,8,39,8,1,0,0,0,1,2
Aarwangen,0,6,103,5,0,10,0,1,4,2
Auswil,0,4,4,1,0,0,0,0,0,2
Bannwil,0,1,16,8,0,0,0,0,2,2
Bleienbach,0,2,7,2,0,1,0,0,0,2
Busswil bei Melchnau,0,0,3,0,0,0,0,0,0,2
