,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Aeugst am Albis,0,1,3,37,0,0,0,0,0,1
Affoltern am Albis,14,0,17,51,0,0,0,8,0,1
Bonstetten,0,2,24,63,0,0,0,5,0,1
Hausen am Albis,0,3,12,79,0,0,0,4,0,1
Hedingen,0,1,3,44,1,0,0,1,0,1
Kappel am Albis,0,0,0,0,0,0,0,0,0,1
Knonau,0,0,5,17,0,0,0,5,0,1
Maschwanden,0,0,0,3,0,0,0,0,0,1
Mettmenstetten,0,3,22,46,0,5,0,0,0,1
Obfelden,0,5,33,46,0,0,0,4,1,1
Ottenbach,1,1,7,32,0,0,0,0,0,1
Rifferswil,0,0,1,11,3,0,1,5,0,1
Stallikon,0,0,6,7,0,0,0,0,0,1
Wettswil am Albis,0,9,14,70,0,0,0,0,0,1
Benken (ZH),0,0,7,14,0,0,0,0,0,1
Berg am Irchel,0,0,0,7,0,0,0,2,0,1
Buch am Irchel,0,3,2,16,0,0,0,4,1,1
Dachsen,0,1,10,44,4,0,0,0,1,1
Dorf,0,0,4,11,0,0,0,0,0,1
Feuerthalen,0,0,0,23,0,21,0,0,0,1
Flaach,0,1,0,16,0,0,0,1,0,1
Flurlingen,0,1,0,9,0,17,0,0,0,1
Henggart,0,2,10,41,0,0,0,0,0,1
Kleinandelfingen,0,1,2,48,0,0,0,2,0,1
Laufen-Uhwiesen,0,0,8,30,0,0,0,0,0,1
Marthalen,0,0,8,9,0,0,0,1,2,1
Ossingen,0,1,0,12,0,0,1,11,0,1
Rheinau,0,1,0,11,0,0,0,0,0,1
Thalheim an der Thur,0,0,0,28,0,0,0,0,0,1
Trüllikon,0,0,1,9,0,1,0,0,2,1
Truttikon,0,1,0,5,0,0,0,0,0,1
Volken,0,0,0,9,0,0,0,0,0,1
Bachenbülach,0,1,0,62,0,9,0,0,0,1
Bassersdorf,0,0,153,112,0,0,0,0,3,1
Bülach,0,1,46,76,0,67,0,1,0,1
Dietlikon,0,1,18,21,0,30,0,4,0,1
Eglisau,0,0,43,64,1,1,0,9,0,1
Embrach,0,7,81,79,0,2,0,6,7,1
Freienstein-Teufen,0,0,4,26,0,1,0,0,0,1
Glattfelden,0,0,35,40,0,0,0,0,1,1
Hochfelden,0,0,6,18,0,18,0,0,1,1
Höri,0,0,16,8,0,0,0,0,2,1
