,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Aeugst am Albis,0,0,0,26,0,0,0,0,0,1
Affoltern am Albis,0,0,0,33,0,0,0,15,0,1
Bonstetten,0,0,0,24,0,0,0,0,0,1
Hausen am Albis,0,1,1,48,0,0,0,0,0,1
Hedingen,0,0,0,6,0,0,0,4,0,1
Kappel am Albis,0,19,0,25,0,0,0,6,0,1
Knonau,0,2,0,45,0,2,0,6,0,1
Maschwanden,0,0,0,1,0,0,0,0,0,1
Mettmenstetten,0,41,0,57,0,0,0,0,0,1
Obfelden,0,1,1,42,0,0,0,15,0,1
Ottenbach,2,0,0,21,0,1,0,0,0,1
Rifferswil,0,1,0,8,0,1,0,10,0,1
Stallikon,3,1,0,38,0,0,0,0,0,1
Wettswil am Albis,0,3,0,46,0,0,0,0,0,1
Benken (ZH),0,0,0,2,0,0,0,1,0,1
Berg am Irchel,0,0,0,6,0,0,0,0,0,1
Buch am Irchel,0,1,0,17,0,0,0,0,0,1
Dachsen,0,0,0,12,0,0,0,0,0,1
Dorf,0,0,1,20,0,0,0,0,0,1
Feuerthalen,0,0,2,14,0,6,0,0,0,1
Flaach,0,0,0,9,0,0,0,9,0,1
Flurlingen,0,0,0,18,0,4,0,0,0,1
Henggart,0,0,0,6,0,0,0,0,0,1
Kleinandelfingen,0,1,0,12,0,0,0,0,0,1
Laufen-Uhwiesen,0,0,0,26,0,0,0,0,0,1
Marthalen,0,1,0,4,0,0,0,0,0,1
Ossingen,0,0,0,5,0,0,0,18,0,1
Rheinau,0,0,1,1,0,0,0,1,0,1
Thalheim an der Thur,0,0,0,12,0,0,0,0,0,1
Trüllikon,0,0,0,6,0,0,0,0,0,1
Truttikon,0,0,0,2,0,0,0,0,0,1
Volken,0,0,0,10,0,0,0,0,0,1
Bachenbülach,0,0,0,24,0,0,0,1,0,1
Bassersdorf,0,1,0,35,0,0,0,7,0,1
Bülach,0,2,2,110,0,29,0,1,0,1
Dietlikon,0,0,1,19,0,6,0,0,0,1
Eglisau,0,3,1,33,0,0,0,2,0,1
Embrach,0,5,2,53,0,5,0,6,0,1
Freienstein-Teufen,0,0,0,21,0,0,0,2,0,1
Glattfelden,1,0,0,34,0,0,0,0,0,1
Hochfelden,0,0,0,9,0,0,0,0,0,1
Höri,0,0,0,30,0,0,0,0,0,1
Hüntwangen,0,0,0,14,0,0,0,0,0,1
Kloten,0,1,2,60,0,23,0,8,0,1
Lufingen,0,0,0,23,0,0,0,0,0,1
Nürensdorf,0,2,0,24,0,0,0,0,0,1
Oberembrach,0,2,0,4,0,0,0,0,0,1
Opfikon,0,0,1,23,0,3,0,51,0,1
Rafz,0,0,0,50,0,0,0,11,0,1
Rorbas,0,1,0,52,0,0,0,0,0,1
Wallisellen,1,0,1,35,0,14,0,12,0,1
Wasterkingen,0,0,0,3,0,0,0,0,0,1
Wil (ZH),0,7,1,13,0,0,0,0,0,1
Winkel,0,1,0,50,0,4,0,0,0,1
Bachs,0,0,0,6,0,0,0,0,0,1
Boppelsen,0,0,0,14,0,0,0,0,0,1
Buchs (ZH),0,1,0,22,0,1,0,0,2,1
Dällikon,0,0,1,28,0,3,0,0,0,1
Dänikon,0,0,0,8,0,0,0,0,0,1
Dielsdorf,0,0,0,11,0,1,0,0,0,1
Hüttikon,0,0,0,15,0,0,0,0,0,1
Neerach,0,1,1,40,0,0,0,0,0,1
Niederglatt,0,2,0,12,0,0,0,0,0,1
Niederhasli,0,1,0,57,1,0,0,0,0,1
Niederweningen,0,4,0,30,0,0,0,0,0,1
Oberglatt,0,0,0,38,0,0,0,0,0,1
Oberweningen,0,0,0,14,0,0,0,0,0,1
Otelfingen,0,2,0,13,0,0,0,1,0,1
Regensberg,0,0,0,0,0,0,0,0,0,1
Regensdorf,0,4,0,45,0,1,0,3,0,1
Rümlang,0,2,0,30,0,2,0,1,0,1
Schleinikon,0,0,0,14,0,0,0,0,0,1
Schöfflisdorf,0,0,0,5,0,0,0,0,0,1
Stadel,0,0,0,14,0,0,0,0,1,1
Steinmaur,0,3,0,28,0,0,0,0,0,1
Weiach,0,1,9,21,0,0,0,0,0,1
Bäretswil,0,1,0,28,0,0,0,0,0,1
Bubikon,0,1,0,43,0,10,0,1,0,1
Dürnten,0,0,0,38,1,7,0,0,1,1
Fischenthal,0,6,0,39,0,0,0,0,0,1
Gossau (ZH),0,16,2,55,0,8,0,2,3,1
Grüningen,0,3,0,31,0,0,0,0,0,1
Hinwil,0,0,0,50,0,2,0,15,1,1
Rüti (ZH),0,1,0,63,0,6,0,0,0,1
Seegräben,0,1,0,7,0,0,0,0,0,1
Wald (ZH),2,6,0,47,0,0,0,7,0,1
Wetzikon (ZH),0,1,0,66,0,25,0,0,0,1
Adliswil,0,0,0,23,1,4,0,0,0,1
Kilchberg (ZH),0,0,0,72,0,2,0,2,0,1
Langnau am Albis,0,2,0,48,0,4,1,0,0,1
Oberrieden,0,0,0,23,0,0,0,0,0,1
Richterswil,0,4,1,20,0,37,0,0,0,1
Rüschlikon,0,0,0,28,0,0,0,0,0,1
Thalwil,0,0,0,60,0,9,0,2,0,1
Erlenbach (ZH),0,0,0,33,0,3,0,0,0,1
Herrliberg,0,1,1,49,0,4,0,1,1,1
Hombrechtikon,0,0,0,45,0,0,0,7,0,1
Küsnacht (ZH),2,1,3,80,0,4,0,3,0,1
Männedorf,0,0,0,64,0,9,0,3,0,1
Meilen,0,1,1,79,0,2,0,4,0,1
Oetwil am See,0,2,0,22,0,0,0,11,0,1
Stäfa,0,1,0,77,0,11,0,1,1,1
Uetikon am See,2,0,0,18,0,5,0,0,0,1
Zumikon,0,27,0,21,0,0,0,0,0,1
Zollikon,0,0,1,50,1,2,0,0,0,1
Fehraltorf,2,3,0,14,0,7,0,1,0,1
Hittnau,0,1,1,32,0,1,0,1,0,1
Lindau,0,2,0,20,0,0,0,5,0,1
Pfäffikon,0,3,1,39,0,22,0,3,1,1
Russikon,0,0,0,61,0,0,0,0,0,1
Weisslingen,1,0,1,21,0,0,0,0,0,1
Wila,0,4,1,16,1,0,0,5,0,1
Wildberg,0,0,0,4,0,0,0,1,0,1
Dübendorf,0,1,0,69,0,10,0,4,0,1
Egg,0,1,0,67,0,0,0,0,0,1
Fällanden,0,0,0,26,0,3,0,2,0,1
