,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Aeugst am Albis,0,3,13,3,0,0,0,0,0,1
Affoltern am Albis,0,9,118,29,1,1,0,18,13,1
Bonstetten,0,6,55,26,0,0,0,0,1,1
Hausen am Albis,0,9,20,9,0,0,0,7,2,1
Hedingen,0,11,108,37,1,0,0,0,5,1
Kappel am Albis,0,4,1,1,0,0,0,0,0,1
Knonau,0,0,8,0,0,0,0,1,1,1
Maschwanden,0,1,3,0,0,0,0,0,0,1
Mettmenstetten,0,3,13,13,0,0,0,0,0,1
Obfelden,0,3,23,15,0,1,0,0,3,1
Ottenbach,0,1,12,6,0,0,0,0,1,1
Rifferswil,0,3,6,0,0,0,0,1,0,1
Stallikon,1,3,30,8,0,0,0,0,1,1
Wettswil am Albis,0,2,60,6,0,0,0,0,1,1
Benken (ZH),0,3,8,1,0,0,0,1,0,1
Berg am Irchel,0,4,3,1,1,0,0,0,0,1
Buch am Irchel,0,6,1,0,0,0,0,0,0,1
Dachsen,0,5,47,15,0,0,1,0,0,1
Dorf,0,4,1,0,0,0,0,0,0,1
Feuerthalen,0,2,51,15,0,19,0,0,7,1
Flaach,0,5,15,5,0,0,0,5,0,1
Flurlingen,0,1,30,3,1,4,0,0,1,1
Henggart,0,2,44,7,0,0,0,0,5,1
Kleinandelfingen,0,11,31,3,0,0,0,0,2,1
Laufen-Uhwiesen,0,8,35,5,0,0,0,0,3,1
Marthalen,0,5,18,3,0,0,0,1,3,1
Ossingen,0,9,15,6,0,0,0,1,2,1
Rheinau,0,3,45,17,0,0,0,2,4,1
Thalheim an der Thur,0,2,6,3,0,0,0,0,0,1
Trüllikon,0,6,12,0,0,0,0,0,0,1
Truttikon,0,4,3,0,0,0,0,0,0,1
Volken,0,2,0,1,0,0,0,0,0,1
Bachenbülach,0,3,33,11,0,3,0,0,2,1
Bassersdorf,1,4,111,35,0,0,0,0,5,1
Bülach,0,13,205,53,1,22,0,0,4,1
Dietlikon,0,1,78,15,0,24,0,0,6,1
Eglisau,0,18,42,14,0,0,0,3,4,1
Embrach,0,4,27,5,0,0,0,1,6,1
Freienstein-Teufen,0,1,6,8,0,0,0,0,1,1
Glattfelden,0,5,57,25,0,0,0,0,2,1
Hochfelden,0,0,10,1,0,0,0,1,0,1
Höri,0,2,29,8,0,0,0,0,2,1
Hüntwangen,0,3,3,1,0,0,0,0,0,1
Kloten,0,2,273,35,0,74,0,4,0,1
Lufingen,0,1,12,4,0,0,0,0,1,1
Nürensdorf,0,5,12,3,0,0,0,0,0,1
Oberembrach,0,2,8,4,0,0,0,1,2,1
Opfikon,1,4,252,27,2,48,0,0,6,1
Rafz,0,3,31,14,0,0,0,6,2,1
Rorbas,0,2,11,3,0,0,0,0,0,1
Wallisellen,1,9,144,30,1,171,0,0,27,1
Wasterkingen,0,0,4,1,0,0,0,0,0,1
Wil (ZH),0,5,19,1,0,0,0,0,1,1
Winkel,0,6,27,7,0,0,0,0,2,1
Bachs,0,2,2,0,0,0,0,1,0,1
Boppelsen,0,2,4,1,0,0,0,0,1,1
Buchs (ZH),0,0,22,7,0,2,0,0,3,1
Dällikon,0,0,11,2,0,0,0,0,0,1
Dänikon,0,1,1,0,0,0,0,0,0,1
Dielsdorf,0,2,50,8,0,0,0,0,4,1
Hüttikon,0,0,4,0,0,0,0,0,3,1
Neerach,0,2,10,2,0,0,0,0,0,1
Niederglatt,0,0,85,16,2,1,0,0,2,1
Niederhasli,0,6,42,9,0,0,0,0,3,1
Niederweningen,0,2,33,3,0,0,0,0,2,1
Oberglatt,0,4,59,12,1,0,0,0,5,1
Oberweningen,0,2,7,2,0,0,0,3,2,1
Otelfingen,0,2,30,4,0,2,0,2,3,1
Regensberg,0,1,2,1,0,0,0,0,0,1
Regensdorf,1,1,207,28,1,26,0,1,10,1
Rümlang,0,5,127,35,1,20,0,4,7,1
Schleinikon,0,0,7,1,0,0,0,0,1,1
Schöfflisdorf,0,2,13,4,0,0,0,0,0,1
Stadel,0,2,16,5,0,0,0,0,1,1
Steinmaur,0,2,23,8,1,0,0,0,2,1
Weiach,0,2,9,1,0,0,0,1,0,1
Bäretswil,0,12,35,10,0,0,0,0,3,1
Bubikon,0,7,54,5,0,3,1,0,4,1
Dürnten,0,8,91,24,2,29,1,1,10,1
Fischenthal,0,17,32,6,0,0,0,0,3,1
Gossau (ZH),0,9,68,25,1,13,0,0,10,1
Grüningen,0,0,26,15,0,0,0,0,2,1
Hinwil,0,19,138,32,0,17,0,3,13,1
Rüti (ZH),0,8,136,32,1,78,0,0,10,1
Seegräben,0,0,11,2,0,1,0,0,2,1
Wald (ZH),0,22,124,29,1,1,0,1,6,1
Wetzikon (ZH),2,13,210,67,0,99,0,2,26,1
Adliswil,3,1,171,37,4,73,0,7,6,1
Kilchberg (ZH),0,0,169,10,0,32,0,0,4,1
Langnau am Albis,0,2,121,18,0,21,0,1,7,1
Oberrieden,0,0,84,25,1,17,0,4,4,1
Richterswil,0,4,67,32,0,63,0,3,12,1
Rüschlikon,0,0,110,15,4,16,0,1,3,1
Thalwil,0,2,165,45,3,68,1,9,12,1
Erlenbach (ZH),0,1,113,12,0,37,0,1,3,1
Herrliberg,5,2,88,24,0,25,1,2,3,1
Hombrechtikon,1,9,105,9,1,1,0,0,8,1
Küsnacht (ZH),1,8,368,58,7,109,0,6,19,1
Männedorf,0,3,98,25,4,42,0,0,13,1
Meilen,0,11,203,30,0,74,1,2,16,1
Oetwil am See,0,0,19,2,0,0,0,5,2,1
Stäfa,1,5,156,35,2,70,1,0,17,1
Uetikon am See,0,2,39,11,0,33,0,1,4,1
Zumikon,0,2,114,9,0,0,0,1,3,1
Zollikon,0,1,269,29,8,50,0,2,15,1
Fehraltorf,0,3,23,6,0,1,1,1,2,1
Hittnau,0,6,22,3,1,0,0,0,0,1
Lindau,1,1,66,12,0,1,0,2,5,1
Pfäffikon,3,19,149,42,1,9,1,2,6,1
Russikon,0,6,35,6,0,0,0,2,1,1
Weisslingen,0,9,49,7,0,0,0,1,3,1
Wila,0,9,23,4,0,0,0,1,2,1
Wildberg,0,10,5,1,0,0,0,0,6,1
Dübendorf,0,5,270,49,2,141,1,2,16,1
Egg,0,4,62,8,1,1,0,1,2,1
Fällanden,0,1,50,15,0,3,0,1,0,1
Greifensee,0,0,14,5,0,0,0,1,1,1
Maur,1,9,101,36,0,0,0,0,10,1
Mönchaltorf,0,4,30,12,0,0,0,0,4,1
Schwerzenbach,0,3,29,8,0,2,0,0,4,1
Uster,1,13,171,52,15,255,0,1,11,1
Volketswil,0,11,48,8,0,29,0,1,0,1
Wangen-Brüttisellen,0,3,65,3,0,7,0,0,6,1
Altikon,0,4,3,2,0,0,0,0,0,1
Brütten,0,0,4,4,0,0,0,0,0,1
Dägerlen,0,3,5,0,0,0,0,0,0,1
Dättlikon,0,0,5,1,0,0,0,1,1,1
Dinhard,0,2,8,3,0,0,0,0,1,1
Ellikon an der Thur,0,4,10,2,0,0,0,0,2,1
Elsau,0,10,70,35,0,0,0,0,6,1
Hagenbuch,0,1,7,0,0,0,0,0,1,1
Hettlingen,0,5,58,1,0,0,0,0,11,1
Neftenbach,0,2,36,13,0,0,0,1,3,1
Pfungen,0,1,26,2,1,5,0,1,1,1
Rickenbach (ZH),0,5,43,16,0,0,0,1,2,1
Schlatt (ZH),0,3,3,2,0,0,0,0,1,1
Seuzach,0,7,92,38,0,2,0,0,6,1
Turbenthal,0,13,55,15,0,0,0,1,11,1
Winterthur,0,60,739,359,5,798,1,209,15,1
Zell (ZH),0,15,94,14,3,0,0,0,6,1
Aesch (ZH),0,3,3,2,0,0,0,1,0,1
