,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Aeugst am Albis,0,2,8,21,0,0,0,0,3,1
Affoltern am Albis,1,1,65,28,0,1,0,33,15,1
Bonstetten,0,2,58,14,0,39,0,0,2,1
Hausen am Albis,1,13,18,29,0,0,0,12,12,1
Hedingen,1,2,16,21,0,0,0,2,7,1
Kappel am Albis,0,3,8,2,0,0,0,0,7,1
Knonau,0,4,4,2,0,1,0,0,0,1
Maschwanden,0,1,1,5,0,0,0,0,0,1
Mettmenstetten,0,4,35,35,0,1,0,0,3,1
Obfelden,0,3,32,43,0,24,0,1,27,1
Ottenbach,3,0,47,42,0,0,0,0,23,1
Rifferswil,0,2,3,8,0,0,0,0,1,1
Stallikon,0,1,47,33,0,14,0,0,2,1
Wettswil am Albis,0,0,38,15,0,1,0,0,26,1
Benken (ZH),0,1,12,2,0,0,0,0,1,1
Berg am Irchel,0,1,4,1,0,0,0,1,1,1
Buch am Irchel,0,3,5,3,0,0,0,0,1,1
Dachsen,0,1,12,5,0,0,0,0,3,1
Dorf,0,1,4,7,0,0,0,0,13,1
Feuerthalen,0,0,0,0,0,16,0,0,0,1
Flaach,0,3,8,4,0,0,0,2,16,1
Flurlingen,0,1,3,1,0,7,0,0,2,1
Henggart,0,1,20,1,0,0,0,0,9,1
Kleinandelfingen,0,1,15,6,0,0,0,0,0,1
Laufen-Uhwiesen,0,2,14,2,1,0,0,0,24,1
Marthalen,0,8,21,18,0,0,0,3,4,1
Ossingen,0,0,16,11,0,0,0,0,1,1
Rheinau,0,1,4,3,0,0,0,0,3,1
Thalheim an der Thur,0,2,6,5,0,0,0,0,1,1
Trüllikon,0,3,11,5,0,0,0,0,2,1
Truttikon,0,0,0,3,0,0,0,0,0,1
Volken,0,1,2,0,0,0,0,0,0,1
Bachenbülach,0,3,15,17,0,2,0,1,2,1
Bassersdorf,0,0,139,59,1,2,0,0,2,1
Bülach,0,9,107,30,5,10,0,1,26,1
Dietlikon,0,0,43,22,0,25,0,1,5,1
Eglisau,0,0,19,8,0,0,0,0,7,1
Embrach,0,2,52,13,0,0,0,8,15,1
Freienstein-Teufen,0,2,22,18,0,0,0,0,8,1
Glattfelden,0,2,31,10,0,0,0,0,10,1
Hochfelden,0,0,17,2,0,0,0,1,3,1
Höri,0,0,12,8,0,0,0,0,2,1
Hüntwangen,0,2,5,2,3,0,0,0,5,1
Kloten,0,0,115,16,1,7,0,18,0,1
Lufingen,1,6,10,9,0,0,0,0,5,1
Nürensdorf,0,2,44,42,0,0,0,1,41,1
Oberembrach,0,1,8,5,0,0,0,1,0,1
Opfikon,0,0,26,7,0,27,0,0,2,1
Rafz,0,2,11,22,0,0,0,1,1,1
Rorbas,0,1,23,4,0,0,0,0,10,1
Wallisellen,0,0,5,4,0,44,0,6,2,1
Wasterkingen,0,2,5,12,0,0,0,0,12,1
Wil (ZH),0,3,17,10,0,0,0,0,15,1
Winkel,1,1,27,28,0,0,0,0,10,1
Bachs,0,3,2,7,0,0,0,1,2,1
Boppelsen,0,0,15,7,0,0,0,0,6,1
Buchs (ZH),0,1,84,7,0,16,0,0,4,1
Dällikon,0,0,20,12,1,0,0,0,4,1
Dänikon,0,0,6,5,0,0,0,0,0,1
Dielsdorf,1,1,90,14,0,0,0,0,4,1
Hüttikon,0,0,1,1,0,0,0,0,5,1
Neerach,1,2,56,27,0,0,0,0,25,1
Niederglatt,0,1,53,21,0,0,0,0,6,1
Niederhasli,0,3,81,28,1,0,0,0,5,1
Niederweningen,0,2,20,16,0,0,0,1,3,1
Oberglatt,0,1,31,9,0,0,0,2,4,1
Oberweningen,0,3,9,4,0,0,0,0,6,1
Otelfingen,0,2,34,3,0,0,0,0,1,1
Regensberg,0,0,1,1,0,0,0,0,0,1
Regensdorf,1,2,80,24,0,1,0,1,11,1
Rümlang,0,1,21,13,0,1,0,0,6,1
Schleinikon,0,0,6,3,0,0,0,0,0,1
Schöfflisdorf,0,1,17,2,0,0,0,0,3,1
Stadel,0,0,3,8,1,0,0,0,9,1
Steinmaur,0,3,33,29,0,0,0,0,10,1
Weiach,0,1,4,0,0,0,0,1,0,1
Bäretswil,0,8,45,14,0,0,0,0,10,1
Bubikon,1,4,104,41,0,0,0,0,21,1
Dürnten,0,3,45,29,0,15,0,7,17,1
Fischenthal,0,5,7,6,0,0,0,0,2,1
Gossau (ZH),1,5,100,39,0,16,0,0,33,1
Grüningen,0,5,37,11,0,0,0,0,1,1
Hinwil,0,8,92,55,0,0,0,9,23,1
Rüti (ZH),0,0,110,38,0,18,0,0,33,1
Seegräben,0,0,2,2,1,1,0,0,5,1
Wald (ZH),1,8,38,23,0,2,0,1,18,1
Wetzikon (ZH),1,4,53,33,0,71,0,0,20,1
Adliswil,0,2,54,26,0,30,0,5,14,1
Kilchberg (ZH),0,0,12,0,0,33,0,5,12,1
Langnau am Albis,0,0,49,22,0,2,0,0,0,1
Oberrieden,0,0,2,8,0,16,0,0,1,1
Richterswil,0,0,76,42,0,49,0,7,30,1
Rüschlikon,0,0,25,7,0,11,0,0,5,1
Thalwil,0,1,15,20,0,67,0,2,9,1
Erlenbach (ZH),0,1,19,6,0,16,0,0,5,1
Herrliberg,4,1,57,11,7,13,0,3,1,1
Hombrechtikon,3,4,97,48,0,1,0,3,41,1
Küsnacht (ZH),0,2,37,36,2,25,0,0,2,1
Männedorf,0,0,9,4,0,8,0,2,13,1
Meilen,0,1,61,11,0,23,1,1,52,1
Oetwil am See,2,1,50,18,0,0,1,1,5,1
Stäfa,0,4,41,25,1,41,0,0,3,1
Uetikon am See,2,3,46,15,0,13,0,0,2,1
Zumikon,0,1,53,18,0,0,0,2,7,1
Zollikon,0,1,26,4,0,30,0,3,8,1
Fehraltorf,0,5,51,53,0,4,0,2,43,1
Hittnau,0,10,29,16,0,0,0,0,12,1
Lindau,0,3,30,9,0,0,0,1,3,1
Pfäffikon,1,5,55,29,0,1,0,1,5,1
Russikon,1,6,61,29,0,0,0,1,9,1
Weisslingen,0,1,23,12,0,0,0,0,3,1
Wila,0,6,10,6,0,0,0,0,2,1
Wildberg,0,2,12,1,0,0,0,0,1,1
Dübendorf,0,3,68,25,0,110,0,2,4,1
Egg,0,1,54,3,8,0,0,0,1,1
Fällanden,0,1,32,29,0,139,1,2,6,1
Greifensee,0,1,16,4,0,1,0,0,3,1
Maur,1,3,105,39,0,0,0,1,17,1
Mönchaltorf,0,4,68,84,0,1,0,2,5,1
Schwerzenbach,0,0,10,5,2,3,0,0,5,1
Uster,0,52,28,46,23,275,0,3,4,1
Volketswil,1,3,127,37,0,47,0,3,12,1
Wangen-Brüttisellen,0,0,71,10,3,5,0,0,2,1
Altikon,1,1,12,3,0,0,0,0,1,1
Brütten,0,2,20,15,0,0,0,1,7,1
Dägerlen,0,5,10,8,0,0,0,0,14,1
Dättlikon,0,3,9,2,0,0,0,0,5,1
Dinhard,0,6,14,17,0,0,0,0,5,1
Ellikon an der Thur,0,1,7,1,0,0,0,0,0,1
Elsau,0,3,22,29,0,0,0,0,2,1
Hagenbuch,0,0,7,1,0,0,0,0,8,1
Hettlingen,0,2,22,12,0,0,0,1,40,1
Neftenbach,0,2,32,10,0,0,0,2,0,1
Pfungen,0,1,14,6,0,0,0,0,1,1
Rickenbach (ZH),0,5,26,5,0,0,0,0,5,1
Schlatt (ZH),0,6,2,1,0,0,0,0,0,1
Seuzach,0,2,84,60,0,0,0,0,22,1
Turbenthal,0,4,44,23,0,0,0,3,6,1
Winterthur,0,11,132,180,2,214,0,40,26,1
Zell (ZH),0,2,22,6,0,0,0,0,2,1
Aesch (ZH),1,2,7,17,0,0,0,0,1,1
Birmensdorf (ZH),0,3,76,10,7,1,0,0,2,1
Dietikon,0,1,49,43,0,89,0,9,27,1
Geroldswil,0,1,53,13,1,8,0,0,3,1
Oberengstringen,0,0,13,2,0,2,0,0,1,1
Oetwil an der Limmat,0,1,45,17,0,0,0,0,4,1
Schlieren,0,2,31,5,1,56,0,2,0,1
Uitikon,0,0,31,12,0,0,0,0,3,1
Unterengstringen,0,0,29,8,0,2,0,7,1,1
Urdorf,0,1,12,24,7,5,0,0,1,1
Weiningen (ZH),0,0,35,12,0,5,0,1,2,1
Zürich,0,7,187,60,1,574,0,123,1,1
Andelfingen,0,5,8,8,0,0,0,0,12,1
Stammheim,0,8,11,3,0,0,0,3,1,1
Wädenswil,0,8,78,57,3,75,0,1,28,1
Elgg,0,3,12,13,0,0,0,22,11,1
Horgen,0,3,32,34,1,72,0,25,21,1
Illnau-Effretikon,0,5,39,45,0,21,0,2,7,1
Bauma,0,4,61,16,0,0,0,0,27,1
Wiesendangen,2,6,82,61,0,1,0,2,17,1
Aarberg,0,0,21,12,0,1,0,1,6,2
Bargen (BE),0,2,5,0,0,0,0,0,0,2
Grossaffoltern,1,4,45,13,0,0,0,0,6,2
Kallnach,0,4,8,5,0,0,0,0,7,2
Kappelen,0,0,5,4,0,0,0,0,1,2
Lyss,1,4,67,32,0,19,0,1,26,2
Meikirch,0,3,12,12,0,0,0,0,9,2
Radelfingen,0,4,2,2,0,0,0,0,6,2
Rapperswil (BE),0,5,6,10,0,0,0,2,4,2
Schüpfen,1,8,15,15,0,0,0,17,5,2
Seedorf (BE),0,5,13,11,1,0,0,0,10,2
Aarwangen,0,3,29,12,0,0,0,2,1,2
Auswil,0,3,0,2,0,0,0,0,1,2
Bannwil,0,0,10,3,0,0,0,0,2,2
Bleienbach,0,2,3,1,0,0,0,0,0,2
Busswil bei Melchnau,0,1,0,0,0,0,0,0,1,2
Gondiswil,0,0,1,1,0,0,0,0,2,2
Langenthal,0,7,9,24,0,119,0,0,11,2
Lotzwil,1,2,1,1,0,13,0,0,2,2
Madiswil,0,3,4,7,0,0,0,0,4,2
Melchnau,0,2,5,4,0,2,0,0,0,2
Oeschenbach,0,3,1,0,0,0,0,0,1,2
Reisiswil,0,0,3,0,0,0,0,0,0,2
Roggwil (BE),0,8,22,20,0,0,0,0,8,2
Rohrbach,0,0,5,5,0,0,0,0,3,2
Rohrbachgraben,0,6,1,0,0,0,0,0,0,2
Rütschelen,0,3,4,1,0,0,0,0,1,2
Schwarzhäusern,0,2,0,0,0,0,0,0,1,2
Thunstetten,0,1,17,11,0,0,0,0,8,2
Ursenbach,0,3,1,1,0,0,0,1,5,2
Wynau,0,1,5,5,0,0,0,0,1,2
Bern,0,1,92,5,0,91,0,9,5,2
Bolligen,0,1,38,49,0,0,0,15,33,2
Bremgarten bei Bern,0,1,13,20,0,33,0,1,37,2
Kirchlindach,0,3,12,14,0,0,0,2,16,2
Köniz,0,10,91,97,0,42,0,24,83,2
Muri bei Bern,0,1,69,24,0,23,0,12,41,2
Oberbalm,0,2,2,0,0,0,0,0,0,2
Stettlen,2,3,14,21,0,0,0,1,23,2
Vechigen,0,35,40,22,1,0,0,0,16,2
Wohlen bei Bern,0,11,32,75,1,11,0,20,88,2
