,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Aeugst am Albis,0,0,0,6,0,0,0,0,0,1
Affoltern am Albis,0,0,0,24,0,0,0,5,0,1
Bonstetten,0,0,0,10,0,0,0,0,0,1
Hausen am Albis,0,0,0,19,0,0,0,8,0,1
Hedingen,0,0,0,19,0,0,0,0,0,1
Kappel am Albis,0,1,0,11,0,0,0,2,0,1
Knonau,0,0,0,5,0,0,0,2,0,1
Maschwanden,1,0,0,3,0,0,0,0,0,1
Mettmenstetten,0,3,0,56,0,0,0,0,0,1
Obfelden,0,0,0,24,0,0,0,0,0,1
Ottenbach,0,0,0,31,0,2,0,0,0,1
Rifferswil,0,0,0,0,0,0,0,4,0,1
Stallikon,0,1,0,20,0,0,0,0,0,1
Wettswil am Albis,0,0,0,15,0,0,0,0,0,1
Benken (ZH),0,0,0,3,0,0,0,0,0,1
Berg am Irchel,0,0,0,0,0,0,0,0,0,1
Buch am Irchel,0,1,0,6,0,0,0,7,0,1
Dachsen,0,0,0,3,0,0,0,0,0,1
Dorf,0,0,0,18,0,0,0,0,0,1
Feuerthalen,0,0,0,13,0,0,0,0,0,1
Flaach,0,0,0,7,0,0,0,1,0,1
Flurlingen,0,0,0,3,0,0,0,0,0,1
Henggart,0,0,0,11,0,0,0,0,0,1
Kleinandelfingen,0,0,0,20,1,0,0,0,0,1
Laufen-Uhwiesen,0,0,0,14,0,0,0,0,0,1
Marthalen,0,0,0,13,0,0,0,2,0,1
Ossingen,0,0,1,3,0,0,0,18,0,1
Rheinau,0,0,0,8,0,0,0,0,0,1
Thalheim an der Thur,0,1,0,15,0,0,0,0,0,1
Trüllikon,0,0,0,9,0,0,0,2,0,1
Truttikon,0,0,0,2,0,0,0,0,0,1
Volken,0,1,0,1,0,0,0,0,0,1
Bachenbülach,0,0,0,10,0,0,0,0,0,1
Bassersdorf,0,0,0,33,0,0,0,0,1,1
Bülach,0,18,0,42,1,2,0,2,0,1
Dietlikon,0,2,0,23,0,1,0,0,0,1
Eglisau,0,0,0,26,0,0,0,0,0,1
Embrach,0,0,0,31,0,0,0,31,0,1
Freienstein-Teufen,0,0,0,6,0,0,0,1,0,1
Glattfelden,0,0,0,20,0,0,0,0,0,1
Hochfelden,0,0,0,8,0,0,0,0,0,1
Höri,0,0,0,37,0,0,0,0,0,1
Hüntwangen,0,0,0,5,0,0,0,0,0,1
Kloten,0,2,2,50,1,8,0,5,0,1
Lufingen,0,0,0,7,0,0,0,0,0,1
Nürensdorf,0,0,1,21,0,0,0,0,0,1
Oberembrach,0,0,0,2,0,0,0,0,0,1
Opfikon,0,0,0,19,0,1,0,1,0,1
Rafz,0,0,0,18,0,0,0,5,0,1
Rorbas,0,0,0,12,0,0,0,0,0,1
Wallisellen,0,0,0,26,0,3,0,0,0,1
Wasterkingen,0,0,0,3,0,0,0,0,0,1
Wil (ZH),0,1,0,13,0,0,0,1,0,1
Winkel,0,0,0,32,0,0,0,0,3,1
Bachs,0,0,0,5,0,0,0,1,0,1
Boppelsen,0,0,0,5,0,0,0,0,0,1
Buchs (ZH),0,0,3,9,0,0,0,0,0,1
Dällikon,0,1,0,6,0,0,0,0,0,1
Dänikon,0,0,0,10,0,0,0,0,0,1
Dielsdorf,0,0,0,18,0,0,0,4,0,1
Hüttikon,0,0,0,4,0,0,0,0,0,1
Neerach,0,0,0,10,0,0,0,0,0,1
Niederglatt,0,8,0,14,0,0,0,0,0,1
Niederhasli,0,0,1,20,5,0,0,0,0,1
Niederweningen,0,0,0,50,0,3,1,0,0,1
Oberglatt,0,0,0,32,0,0,0,0,0,1
Oberweningen,0,0,0,8,0,0,0,0,0,1
Otelfingen,0,0,0,14,0,0,0,0,0,1
Regensberg,0,0,0,2,0,0,0,0,0,1
Regensdorf,0,0,0,41,0,0,1,22,1,1
Rümlang,0,0,0,8,1,1,0,1,0,1
Schleinikon,0,0,0,6,0,0,0,0,0,1
Schöfflisdorf,0,0,0,7,0,0,0,0,0,1
Stadel,0,0,0,13,1,0,0,0,0,1
Steinmaur,1,1,0,17,0,0,0,0,1,1
Weiach,0,0,0,10,0,0,0,0,0,1
Bäretswil,0,0,0,15,0,0,0,4,0,1
Bubikon,0,1,2,10,0,2,1,7,0,1
Dürnten,0,3,0,27,0,3,0,0,0,1
Fischenthal,0,2,0,16,0,0,0,0,0,1
Gossau (ZH),0,0,0,41,0,5,0,0,0,1
Grüningen,0,0,0,13,0,0,0,0,0,1
Hinwil,0,2,0,54,0,0,0,1,0,1
Rüti (ZH),0,0,0,32,0,0,0,0,0,1
Seegräben,0,0,0,12,0,0,0,0,0,1
Wald (ZH),0,4,0,14,0,1,0,1,0,1
Wetzikon (ZH),0,0,0,79,0,8,1,3,0,1
Adliswil,0,0,0,25,0,3,0,0,0,1
Kilchberg (ZH),0,0,0,32,0,3,0,0,0,1
Langnau am Albis,0,0,0,14,0,3,0,1,1,1
Oberrieden,0,0,0,29,0,0,0,0,0,1
