,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Aeugst am Albis,0,5,20,33,3,0,0,0,5,1
Affoltern am Albis,0,6,166,36,3,2,0,31,17,1
Bonstetten,0,4,65,11,0,110,0,5,2,1
Hausen am Albis,0,6,67,63,0,0,0,12,3,1
Hedingen,0,4,43,21,0,0,0,2,17,1
Kappel am Albis,0,2,8,7,0,0,0,0,3,1
Knonau,0,5,25,10,0,1,0,2,4,1
Maschwanden,0,1,7,1,0,0,0,0,2,1
Mettmenstetten,0,5,50,78,0,0,0,3,8,1
Obfelden,0,6,135,119,0,39,0,2,25,1
Ottenbach,1,25,24,22,0,0,0,0,7,1
Rifferswil,0,4,19,4,0,0,0,2,0,1
Stallikon,1,4,94,28,0,2,0,0,2,1
Wettswil am Albis,0,1,201,60,0,0,0,0,26,1
Benken (ZH),0,3,17,1,0,0,0,1,0,1
Berg am Irchel,0,0,11,1,0,0,0,0,0,1
Buch am Irchel,0,3,9,6,0,0,0,0,0,1
Dachsen,0,2,81,31,0,0,0,0,6,1
Dorf,0,2,7,1,0,0,0,0,0,1
Feuerthalen,0,0,18,5,0,6,0,0,2,1
Flaach,0,2,13,2,0,0,0,1,0,1
Flurlingen,0,0,25,2,0,6,0,0,8,1
Henggart,0,0,53,8,0,0,0,0,5,1
Kleinandelfingen,0,2,46,10,0,1,0,0,24,1
Laufen-Uhwiesen,0,1,45,9,0,1,0,0,6,1
Marthalen,0,4,16,7,0,0,0,4,0,1
Ossingen,0,4,27,10,0,0,0,0,1,1
Rheinau,0,1,16,10,0,0,0,1,0,1
Thalheim an der Thur,0,2,12,2,0,0,0,0,0,1
Trüllikon,0,9,30,8,0,0,0,0,10,1
Truttikon,0,3,21,2,0,0,0,0,0,1
Volken,0,0,0,0,0,0,0,0,0,1
Bachenbülach,0,1,93,42,3,2,0,0,3,1
Bassersdorf,0,2,91,29,1,0,0,3,4,1
Bülach,0,4,194,45,0,30,0,0,18,1
Dietlikon,0,2,125,22,1,24,0,2,6,1
Eglisau,0,2,84,23,0,12,0,0,8,1
