,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Aeugst am Albis,1,0,2,45,0,0,0,0,1,1
Affoltern am Albis,0,1,26,36,0,0,0,13,0,1
Bonstetten,0,17,2,50,0,0,0,0,0,1
Hausen am Albis,0,12,1,17,0,0,0,0,0,1
Hedingen,0,1,3,35,0,0,0,0,9,1
Kappel am Albis,0,7,1,11,0,0,0,3,0,1
Knonau,0,11,1,52,0,0,0,1,0,1
Maschwanden,0,1,0,20,0,0,0,0,0,1
Mettmenstetten,0,6,5,52,0,1,0,0,0,1
Obfelden,0,2,20,36,0,7,0,1,1,1
Ottenbach,0,1,0,35,0,0,0,0,0,1
Rifferswil,0,3,0,14,0,0,0,11,0,1
Stallikon,0,1,5,37,0,0,0,0,0,1
Wettswil am Albis,0,0,0,29,0,5,0,0,1,1
Benken (ZH),0,0,2,8,0,0,0,6,0,1
Berg am Irchel,0,0,0,9,0,0,0,2,0,1
Buch am Irchel,0,4,5,21,0,0,0,4,0,1
Dachsen,0,0,10,21,2,0,0,0,0,1
Dorf,0,0,2,1,0,0,0,0,0,1
Feuerthalen,0,8,1,9,0,26,0,0,0,1
Flaach,0,2,0,23,0,0,0,0,0,1
Flurlingen,0,1,0,12,0,0,0,0,0,1
Henggart,0,3,2,54,0,0,0,0,0,1
Kleinandelfingen,1,4,1,34,0,0,0,0,0,1
Laufen-Uhwiesen,0,0,3,15,0,0,0,0,0,1
Marthalen,0,4,6,20,0,0,0,1,0,1
Ossingen,0,0,0,13,0,0,0,12,0,1
Rheinau,0,0,0,15,2,0,0,0,1,1
Thalheim an der Thur,0,0,0,23,0,0,0,0,0,1
Trüllikon,0,1,1,15,0,0,0,0,0,1
Truttikon,0,0,0,5,0,0,0,0,0,1
Volken,0,0,0,4,0,0,0,0,0,1
Bachenbülach,0,1,0,35,0,9,0,0,1,1
Bassersdorf,0,8,94,59,0,3,0,0,3,1
Bülach,0,2,21,68,0,39,0,0,0,1
Dietlikon,0,1,2,23,0,16,0,0,1,1
Eglisau,0,7,6,96,0,0,0,17,0,1
Embrach,0,6,25,55,0,0,0,2,21,1
Freienstein-Teufen,0,2,2,11,0,0,0,0,0,1
Glattfelden,1,0,56,44,0,0,0,0,0,1
Hochfelden,0,0,1,46,0,1,0,0,0,1
Höri,0,0,0,12,0,0,0,0,0,1
Hüntwangen,1,0,1,22,0,0,0,0,1,1
Kloten,0,6,7,12,0,10,0,1,0,1
Lufingen,0,0,0,92,0,0,0,0,0,1
Nürensdorf,0,15,1,33,0,0,0,0,0,1
Oberembrach,0,0,0,4,0,0,0,0,0,1
Opfikon,0,1,4,20,0,8,0,51,0,1
Rafz,0,2,1,45,0,0,0,18,4,1
Rorbas,0,0,0,30,0,0,0,0,2,1
Wallisellen,0,3,0,27,0,35,0,13,0,1
Wasterkingen,0,0,0,6,0,0,0,0,0,1
Wil (ZH),0,0,1,19,0,0,0,0,0,1
Winkel,0,0,1,34,0,1,0,0,0,1
Bachs,0,1,0,6,0,0,0,1,0,1
Boppelsen,0,0,0,15,0,0,0,0,0,1
Buchs (ZH),1,10,0,29,0,15,0,0,7,1
Dällikon,0,0,0,7,0,0,0,0,0,1
Dänikon,0,0,7,24,0,0,0,0,0,1
Dielsdorf,0,0,7,32,0,5,0,0,0,1
Hüttikon,0,0,10,22,0,0,0,0,0,1
Neerach,0,0,2,39,0,0,0,0,2,1
Niederglatt,0,4,4,13,0,0,0,0,0,1
Niederhasli,0,0,13,74,0,0,0,3,0,1
Niederweningen,0,1,1,66,0,0,0,3,2,1
Oberglatt,0,0,13,33,0,0,0,0,0,1
Oberweningen,0,0,12,18,0,0,0,0,14,1
Otelfingen,0,0,2,29,0,0,0,0,0,1
Regensberg,0,1,0,1,0,0,0,0,0,1
Regensdorf,0,5,7,54,2,25,0,0,0,1
Rümlang,0,1,0,29,0,49,0,5,0,1
Schleinikon,0,0,0,23,0,0,0,0,0,1
Schöfflisdorf,0,1,0,36,0,0,0,1,5,1
Stadel,0,1,11,32,1,0,0,0,2,1
Steinmaur,0,0,4,17,0,0,0,0,0,1
Weiach,0,1,1,11,0,0,0,4,0,1
Bäretswil,0,4,0,57,0,2,0,0,0,1
Bubikon,0,3,0,43,0,60,0,0,0,1
Dürnten,0,2,0,61,0,79,0,0,4,1
Fischenthal,1,2,6,100,0,1,0,0,0,1
Gossau (ZH),0,1,13,63,0,2,0,0,3,1
Grüningen,0,2,3,15,0,1,0,0,0,1
Hinwil,0,6,2,45,0,22,0,6,8,1
Rüti (ZH),0,2,0,27,0,31,0,0,4,1
Seegräben,0,1,5,11,0,0,0,2,4,1
